"";"x"
"1";0,42
"2";0,24
"3";0,14
"4";0,16
"5";0,38
"6";0,26
"7";0,2
"8";0,3
"9";0,22
"10";0,16
"11";0,28
"12";0,38
"13";0,32
"14";0,3
"15";0,26
"16";0,24
"17";0,28
"18";0,42
"19";0,36
"20";0,3
"21";0,22
"22";0,4
"23";0,28
"24";0,26
"25";0,26
"26";0,34
"27";0,32
"28";0,34
"29";0,26
"30";0,22
"31";0,26
"32";0,22
"33";0,28
"34";0,22
"35";0,3
"36";0,3
"37";0,28
"38";0,28
"39";0,28
"40";0,26
"41";0,28
"42";0,36
"43";0,34
"44";0,14
"45";0,18
"46";0,24
"47";0,3
"48";0,38
"49";0,12
"50";0,18
"51";0,24
"52";0,3
"53";0,38
"54";0,2
"55";0,24
"56";0,38
"57";0,38
"58";0,34
"59";0,3
"60";0,32
"61";0,26
"62";0,18
"63";0,3
"64";0,34
"65";0,3
"66";0,22
"67";0,18
"68";0,28
"69";0,2
"70";0,18
"71";0,3
"72";0,24
"73";0,32
"74";0,16
"75";0,16
"76";0,4
"77";0,24
"78";0,2
"79";0,3
"80";0,2
"81";0,22
"82";0,32
"83";0,22
"84";0,2
"85";0,16
"86";0,26
"87";0,24
"88";0,36
"89";0,2
"90";0,36
"91";0,42
"92";0,2
"93";0,26
"94";0,2
"95";0,24
"96";0,26
"97";0,28
"98";0,22
"99";0,12
"100";0,24
"101";0,26
"102";0,36
"103";0,18
"104";0,24
"105";0,3
"106";0,26
"107";0,3
"108";0,2
"109";0,32
"110";0,26
"111";0,3
"112";0,26
"113";0,2
"114";0,14
"115";0,28
"116";0,14
"117";0,28
"118";0,28
"119";0,28
"120";0,22
"121";0,24
"122";0,24
"123";0,26
"124";0,2
"125";0,34
"126";0,36
"127";0,32
"128";0,36
"129";0,32
"130";0,42
"131";0,24
"132";0,28
"133";0,32
"134";0,3
"135";0,26
"136";0,18
"137";0,26
"138";0,2
"139";0,22
"140";0,32
"141";0,26
"142";0,3
"143";0,26
"144";0,16
"145";0,4
"146";0,3
"147";0,18
"148";0,28
"149";0,24
"150";0,34
"151";0,14
"152";0,26
"153";0,2
"154";0,26
"155";0,28
"156";0,3
"157";0,28
"158";0,42
"159";0,16
"160";0,26
"161";0,2
"162";0,3
"163";0,12
"164";0,26
"165";0,3
"166";0,16
"167";0,28
"168";0,34
"169";0,28
"170";0,16
"171";0,16
"172";0,24
"173";0,2
"174";0,24
"175";0,26
"176";0,34
"177";0,24
"178";0,22
"179";0,16
"180";0,4
"181";0,28
"182";0,28
"183";0,3
"184";0,22
"185";0,36
"186";0,36
"187";0,24
"188";0,24
"189";0,3
"190";0,24
"191";0,36
"192";0,34
"193";0,34
"194";0,34
"195";0,22
"196";0,28
"197";0,36
"198";0,26
"199";0,3
"200";0,32
"201";0,2
"202";0,38
"203";0,3
"204";0,3
"205";0,2
"206";0,38
"207";0,2
"208";0,38
"209";0,18
"210";0,2
"211";0,36
"212";0,4
"213";0,2
"214";0,2
"215";0,24
"216";0,2
"217";0,3
"218";0,28
"219";0,18
"220";0,16
"221";0,38
"222";0,28
"223";0,18
"224";0,24
"225";0,22
"226";0,32
"227";0,34
"228";0,24
"229";0,26
"230";0,32
"231";0,34
"232";0,18
"233";0,3
"234";0,32
"235";0,52
"236";0,22
"237";0,22
"238";0,32
"239";0,2
"240";0,28
"241";0,28
"242";0,38
"243";0,1
"244";0,3
"245";0,24
"246";0,32
"247";0,34
"248";0,28
"249";0,16
"250";0,26
"251";0,28
"252";0,24
"253";0,18
"254";0,22
"255";0,28
"256";0,38
"257";0,2
"258";0,28
"259";0,3
"260";0,28
"261";0,4
"262";0,22
"263";0,22
"264";0,12
"265";0,32
"266";0,24
"267";0,18
"268";0,18
"269";0,26
"270";0,36
"271";0,26
"272";0,18
"273";0,38
"274";0,24
"275";0,44
"276";0,44
"277";0,38
"278";0,22
"279";0,2
"280";0,26
"281";0,2
"282";0,36
"283";0,28
"284";0,42
"285";0,42
"286";0,16
"287";0,3
"288";0,18
"289";0,18
"290";0,16
"291";0,24
"292";0,24
"293";0,2
"294";0,28
"295";0,2
"296";0,32
"297";0,22
"298";0,2
"299";0,22
"300";0,3
"301";0,24
"302";0,3
"303";0,32
"304";0,28
"305";0,24
"306";0,36
"307";0,28
"308";0,24
"309";0,22
"310";0,36
"311";0,36
"312";0,32
"313";0,22
"314";0,2
"315";0,28
"316";0,26
"317";0,28
"318";0,34
"319";0,32
"320";0,3
"321";0,4
"322";0,3
"323";0,14
"324";0,28
"325";0,32
"326";0,22
"327";0,36
"328";0,36
"329";0,4
"330";0,2
"331";0,26
"332";0,38
"333";0,34
"334";0,28
"335";0,3
"336";0,34
