;mean;sd;bias;cp;;Mean means;Mean Sds;Mean bias;Mean CP
1;-1,038462124;0,920885011;-48,07689379;1;;-0,992921513;0,871411293;-50,35392433;0,836
2;-2,484545209;1,011901875;24,22726046;1;;;;;
3;-2,081810481;0,714102141;4,090524029;1;;;;;
4;-1,878174369;0,725655283;-6,091281529;1;;;;;
5;-1,025918342;0,810556629;-48,70408291;1;;;;;
6;-1,774574028;0,917588766;-11,2712986;1;;;;;
7;-0,473480141;0,663886729;-76,32599295;0;;;;;
8;-0,486737809;1,160837659;-75,66310957;1;;;;;
9;-1,884950061;0,76304296;-5,752496959;1;;;;;
10;-1,617625705;1,052881342;-19,11871473;1;;;;;
11;-0,913079605;0,775209693;-54,34601976;1;;;;;
12;-1,394230254;0,881336589;-30,2884873;1;;;;;
13;-0,896270925;0,841707346;-55,18645376;1;;;;;
14;-2,220981728;0,681601367;11,04908641;1;;;;;
15;-0,583351576;0,750394638;-70,83242118;1;;;;;
16;-1,484456955;0,670411525;-25,77715223;1;;;;;
17;-1,479028019;1,342077392;-26,04859906;1;;;;;
18;0,614173939;1,5730248;-130,708697;1;;;;;
19;-1,365424532;1,097815461;-31,7287734;1;;;;;
20;-0,708135959;0,983926803;-64,59320206;1;;;;;
21;-1,172663247;0,892276038;-41,36683764;1;;;;;
22;-1,325156492;0,564576118;-33,74217541;1;;;;;
23;-0,580533653;1,185760729;-70,97331733;1;;;;;
24;-0,703064608;0,959194648;-64,84676961;1;;;;;
25;0,535091816;1,058391003;-126,7545908;0;;;;;
26;-2,699378165;0,853226413;34,96890827;1;;;;;
27;-1,784758138;0,896198244;-10,76209308;1;;;;;
28;-1,282598676;0,672865495;-35,87006621;1;;;;;
29;-1,592794654;0,832347538;-20,36026729;1;;;;;
30;-0,665970629;0,672240325;-66,70146853;1;;;;;
31;-0,643721494;0,792527031;-67,81392529;1;;;;;
32;-1,576846818;0,808369582;-21,15765911;1;;;;;
33;-1,177160631;0,767367311;-41,14196846;1;;;;;
34;-1,527202923;0,865761547;-23,63985384;1;;;;;
35;-0,550075677;0,906477064;-72,49621615;1;;;;;
36;-0,357897373;0,640295108;-82,10513133;0;;;;;
37;-1,803825796;0,925616665;-9,808710207;1;;;;;
38;-1,513292448;0,740499644;-24,33537762;1;;;;;
39;-1,218076683;0,966055813;-39,09616583;1;;;;;
40;-1,771069119;0,742854474;-11,44654407;1;;;;;
41;0,741397564;1,007707769;-137,0698782;0;;;;;
42;-1,757195478;0,861939951;-12,14022608;1;;;;;
43;-0,680031779;0,924411143;-65,99841107;1;;;;;
44;-0,36037471;0,729055078;-81,98126448;0;;;;;
45;-1,032113058;1,019501267;-48,39434711;1;;;;;
46;-0,706316817;1,284845012;-64,68415913;1;;;;;
47;-1,335008969;0,397160737;-33,24955154;1;;;;;
48;-0,803709768;0,846933647;-59,81451159;1;;;;;
49;-1,54413713;0,864934577;-22,79314349;1;;;;;
50;0,106872157;0,850053155;-105,3436079;0;;;;;
51;-1,049495183;0,742588234;-47,52524085;1;;;;;
52;-1,928988163;1,030414643;-3,550591829;1;;;;;
53;-1,949927051;1,213618603;-2,503647435;1;;;;;
54;-1,389894482;0,631633435;-30,5052759;1;;;;;
55;-1,597336516;0,976408841;-20,13317422;1;;;;;
56;-1,150642599;0,704167698;-42,46787006;1;;;;;
57;-1,462059545;0,706514942;-26,89702273;1;;;;;
58;-1,532646542;0,691162361;-23,36767291;1;;;;;
59;-0,562688136;0,842300069;-71,8655932;1;;;;;
60;-0,212037848;1,424567218;-89,3981076;1;;;;;
61;-1,624319322;1,004611;-18,78403392;1;;;;;
62;-1,110606815;0,769656159;-44,46965927;1;;;;;
63;-1,650780934;0,576748216;-17,46095328;1;;;;;
