;mean;sd;bias;cp;;Mean means;Mean sds;Mean bias;Mean CP
1;-1,141164604;0,867737342;-42,94176982;1;;-0,543171611;1,179747349;-72,84141945;0,83
2;-0,402843636;0,811524255;-79,85781819;1;;;;;
3;-1,871988654;1,301178163;-6,400567279;1;;;;;
4;-0,061339058;1,204629387;-96,93304708;1;;;;;
5;0,670241628;1,38759484;-133,5120814;0;;;;;
6;-1,07482135;0,852412215;-46,25893249;1;;;;;
7;-1,530301529;1,01746219;-23,48492355;1;;;;;
8;1,619274148;1,527695517;-180,9637074;0;;;;;
9;-1,35065377;1,057832139;-32,46731149;1;;;;;
10;-1,438947645;1,163250579;-28,05261777;1;;;;;
11;0,119458006;1,163467736;-105,9729003;1;;;;;
12;0,116766021;1,114014596;-105,838301;1;;;;;
13;1,876198709;1,686576138;-193,8099354;0;;;;;
14;-0,809237398;1,155174349;-59,53813009;1;;;;;
15;-1,227494318;1,388937571;-38,62528412;1;;;;;
16;-0,17063663;1,186838582;-91,46816848;1;;;;;
17;-0,768425925;1,166253342;-61,57870376;1;;;;;
18;-0,550042313;0,975907118;-72,49788436;1;;;;;
19;-1,530527003;1,429713417;-23,47364987;1;;;;;
20;-0,353782475;1,156511697;-82,31087626;1;;;;;
21;-1,295032401;1,020007983;-35,24837993;1;;;;;
22;0,657850399;1,503420078;-132,8925199;1;;;;;
23;0,734941238;1,258128085;-136,7470619;0;;;;;
24;-0,118136301;1,321134347;-94,09318493;1;;;;;
25;-0,81540947;1,493899727;-59,2295265;1;;;;;
26;0,956410104;1,390169199;-147,8205052;0;;;;;
27;-2,093298561;1,252425607;4,664928068;1;;;;;
28;0,639909918;1,55343227;-131,9954959;1;;;;;
29;-0,227920612;0,79244788;-88,60396942;0;;;;;
30;-0,794135979;1,319009376;-60,29320104;1;;;;;
31;0,723525157;1,658484981;-136,1762578;1;;;;;
32;-0,466806547;1,398985206;-76,65967264;1;;;;;
33;1,377257584;1,217167763;-168,8628792;0;;;;;
34;-1,649248543;0,818483729;-17,53757283;1;;;;;
35;-0,841217105;0,907523418;-57,93914477;1;;;;;
36;-0,288764026;1,364327405;-85,56179871;1;;;;;
37;0,190630093;1,164704449;-109,5315047;1;;;;;
38;-0,6297633;1,786071488;-68,51183499;1;;;;;
39;0,271162468;1,345818977;-113,5581234;1;;;;;
40;0,886687449;1,531411843;-144,3343725;1;;;;;
41;-1,443096877;0,732113547;-27,84515613;1;;;;;
42;-1,905587965;1,353427562;-4,720601729;1;;;;;
43;-0,873825937;1,588304008;-56,30870314;1;;;;;
44;-0,912818161;0,755933445;-54,35909193;1;;;;;
45;0,323273255;1,542081199;-116,1636628;1;;;;;
46;-0,620872783;0,882147335;-68,95636087;1;;;;;
47;-1,545452352;1,370564808;-22,7273824;1;;;;;
48;-1,329689205;1,019683932;-33,51553973;1;;;;;
49;-1,317544864;1,156486128;-34,1227568;1;;;;;
50;-0,636545471;1,303165576;-68,17272647;1;;;;;
51;-1,935800762;0,980191325;-3,209961912;1;;;;;
52;-1,397166101;1,008104382;-30,14169495;1;;;;;
53;-0,563052612;0,68050989;-71,84736942;1;;;;;
54;-1,23591859;1,20564258;-38,20407048;1;;;;;
55;-2,423520306;1,654448922;21,17601529;1;;;;;
56;-1,222241935;0,865641798;-38,88790327;1;;;;;
57;0,785744619;1,361620093;-139,2872309;0;;;;;
58;0,74733527;1,035601316;-137,3667635;0;;;;;
59;0,057227316;1,333397077;-102,8613658;1;;;;;
60;-0,089196063;1,233489285;-95,54019684;1;;;;;
61;-0,291586454;0,653746771;-85,42067729;0;;;;;
62;-0,694089125;0,792442016;-65,29554377;1;;;;;
63;-1,472567096;0,957779596;-26,37164518;1;;;;;
64;-1,169885433;0,998552537;-41,50572836;1;;;;;
65;-0,914648085;1,267452406;-54,26759574;1;;;;;
66;-2,306977855;1,504925238;15,34889275;1;;;;;
67;-0,558423827;0,824024029;-72,07880864;1;;;;;
68;1,170161136;1,673654147;-158,5080568;1;;;;;
69;-0,194210295;1,48052896;-90,28948524;1;;;;;
70;1,753907874;1,463338348;-187,6953937;0;;;;;
71;-0,892864912;0,908867855;-55,35675442;1;;;;;
72;-0,122415187;0,988343465;-93,87924063;1;;;;;
73;-0,162120244;1,722982463;-91,89398781;1;;;;;
74;-1,005424487;1,493949731;-49,72877565;1;;;;;
75;-0,873820354;1,388902175;-56,30898228;1;;;;;
76;-2,134463472;1,163427442;6,723173619;1;;;;;
77;0,790392048;1,15116216;-139,5196024;0;;;;;
78;-0,434191262;0,91666137;-78,2904369;1;;;;;
79;-0,410945909;0,98950462;-79,45270453;1;;;;;
80;-1,31329983;1,138195128;-34,33500849;1;;;;;
81;1,103519721;1,022355643;-155,1759861;0;;;;;
82;-0,8002838;1,395005466;-59,98581001;1;;;;;
83;-0,64945103;1,366002373;-67,52744852;1;;;;;
84;0,980039483;1,715611619;-149,0019742;1;;;;;
85;-1,212039771;0,85763899;-39,39801143;1;;;;;
86;-3,841823577;1,460646556;92,09117886;1;;;;;
87;-2,914648222;1,487701756;45,73241109;1;;;;;
88;-1,029798883;1,217508491;-48,51005583;1;;;;;
89;-0,676277436;1,195031057;-66,18612818;1;;;;;
90;-1,86019852;0,903170012;-6,990073999;1;;;;;
91;-0,33019205;0,994873558;-83,49039752;1;;;;;
92;-2,310284256;1,358353358;15,5142128;1;;;;;
93;0,944523073;1,182205258;-147,2261536;0;;;;;
94;0,351324512;1,727378707;-117,5662256;1;;;;;
95;0,250269598;1,050692733;-112,5134799;0;;;;;
96;-0,333085535;1,166548487;-83,34572326;1;;;;;
97;-0,700686589;1,064902133;-64,96567056;1;;;;;
98;0,493709755;0,7435069;-124,6854877;0;;;;;
99;-1,545630949;1,122497172;-22,71845254;1;;;;;
100;-0,769448248;0,854893923;-61,52758758;1;;;;;
101;0,278259413;1,149856275;-113,9129707;1;;;;;
102;-0,550443284;0,745008619;-72,47783579;0;;;;;
103;0,482140331;1,26580769;-124,1070166;0;;;;;
104;-1,8489846;0,728685655;-7,550769992;1;;;;;
105;-1,974145462;1,024946432;-1,292726878;1;;;;;
106;-0,483701512;1,391178236;-75,81492439;1;;;;;
107;-2,186335518;0,921492563;9,3167759;1;;;;;
108;1,294637318;1,293016198;-164,7318659;0;;;;;
109;-0,695358208;1,186416528;-65,23208959;1;;;;;
110;0,602077299;1,586892844;-130,103865;1;;;;;
111;-0,555325203;1,186786698;-72,23373986;1;;;;;
112;-0,837298033;0,728096713;-58,13509834;1;;;;;
113;-0,342329648;1,450377873;-82,88351761;1;;;;;
114;-0,724504431;1,803264517;-63,77477843;1;;;;;
115;-1,691047603;0,86563859;-15,44761987;1;;;;;
116;0,401841363;1,283486173;-120,0920682;1;;;;;
117;-1,303472777;0,839545645;-34,82636115;1;;;;;
118;-1,937441345;1,451814041;-3,12793276;1;;;;;
119;-0,197040556;1,131958525;-90,14797218;1;;;;;
120;-0,340071178;0,866715679;-82,99644108;1;;;;;
121;-1,151844814;1,106199526;-42,4077593;1;;;;;
122;-1,090641275;0,709751546;-45,46793624;1;;;;;
123;-1,221813941;0,971899392;-38,90930293;1;;;;;
124;0,679688979;1,496505546;-133,9844489;1;;;;;
125;-1,607951974;0,713713641;-19,6024013;1;;;;;
126;-0,268889127;0,904012091;-86,55554363;1;;;;;
127;0,810926976;1,638224805;-140,5463488;1;;;;;
128;-1,527180276;1,112095464;-23,64098621;1;;;;;
129;0,059866688;1,181214921;-102,9933344;1;;;;;
130;-1,299121209;0,819661976;-35,04393953;1;;;;;
131;0,154179161;1,758816456;-107,7089581;1;;;;;
132;-1,92974438;1,152798409;-3,512781022;1;;;;;
133;-0,861785007;0,995665664;-56,91074964;1;;;;;
134;-1,256146612;1,163837832;-37,19266941;1;;;;;
135;-0,187196943;1,212503389;-90,64015285;1;;;;;
136;-0,169862605;1,409119722;-91,50686977;1;;;;;
137;-0,402997994;0,802840235;-79,8501003;1;;;;;
138;-0,391713753;0,870296649;-80,41431236;1;;;;;
139;-0,414754353;0,746663299;-79,26228235;0;;;;;
140;1,243510889;1,601932978;-162,1755444;1;;;;;
141;-0,619527297;0,873955278;-69,02363515;1;;;;;
142;-0,175196709;0,858867142;-91,24016457;0;;;;;
143;0,714493919;1,24558585;-135,7246959;0;;;;;
144;-0,163687086;1,572428812;-91,81564568;1;;;;;
145;-1,373374149;0,760966576;-31,33129255;1;;;;;
146;-1,275672257;1,005328736;-36,21638713;1;;;;;
147;0,549132311;1,634493512;-127,4566155;1;;;;;
148;-0,573602402;1,26076218;-71,3198799;1;;;;;
149;-0,982337624;0,774805333;-50,88311878;1;;;;;
150;-0,707956748;1,065846679;-64,60216261;1;;;;;
151;-0,522923796;0,960372486;-73,8538102;1;;;;;
152;-1,550949543;1,246717334;-22,45252284;1;;;;;
153;0,619914238;1,035719871;-130,9957119;0;;;;;
154;0,320926813;1,188733594;-116,0463407;1;;;;;
155;1,321348459;1,550290426;-166,067423;0;;;;;
156;-1,106239522;0,661741101;-44,68802392;1;;;;;
157;0,213777378;1,070678533;-110,6888689;0;;;;;
158;-0,822501766;1,363336691;-58,87491172;1;;;;;
159;-0,604692436;0,996778656;-69,76537819;1;;;;;
160;-0,187362052;0,81267455;-90,63189739;0;;;;;
161;-0,235655897;1,459350118;-88,21720514;1;;;;;
162;-2,145855043;1,408719592;7,292752172;1;;;;;
163;-2,307686958;1,013426879;15,38434791;1;;;;;
164;-0,739374373;0,870723014;-63,03128136;1;;;;;
165;0,207090855;1,318639743;-110,3545427;1;;;;;
166;-0,74987618;0,76543118;-62,506191;1;;;;;
167;0,198038003;1,163300269;-109,9019001;1;;;;;
168;-1,329976633;1,251124075;-33,50116835;1;;;;;
169;0,657263814;1,114540753;-132,8631907;0;;;;;
170;1,010586571;1,696439741;-150,5293286;1;;;;;
171;0,032516583;1,183390748;-101,6258291;1;;;;;
172;0,024529639;0,877303817;-101,226482;0;;;;;
173;0,407171326;1,278599461;-120,3585663;1;;;;;
174;1,035795147;1,131948431;-151,7897573;0;;;;;
175;0,758203258;1,659049551;-137,9101629;1;;;;;
176;-0,47149455;1,382890633;-76,42527251;1;;;;;
177;-1,813664758;1,06871839;-9,316762104;1;;;;;
178;-1,095580843;1,216733857;-45,22095784;1;;;;;
179;-1,019842433;0,704642575;-49,00787835;1;;;;;
180;-0,19578058;1,344947828;-90,21097102;1;;;;;
181;0,120910422;1,450535391;-106,0455211;1;;;;;
182;-0,970106386;1,021350762;-51,49468068;1;;;;;
183;-1,714686234;1,269270208;-14,26568832;1;;;;;
184;-2,131210639;1,497984264;6,560531955;1;;;;;
185;0,891645214;1,288133328;-144,5822607;0;;;;;
186;-0,524742106;1,460085579;-73,76289469;1;;;;;
187;-0,537370764;0,691797844;-73,13146178;0;;;;;
188;-1,181839444;0,998917225;-40,9080278;1;;;;;
189;0,181704057;1,030505704;-109,0852028;0;;;;;
190;-1,093036137;1,287517738;-45,34819316;1;;;;;
191;-0,078857833;1,042533355;-96,05710836;1;;;;;
192;-1,319426819;0,829580044;-34,02865906;1;;;;;
193;0,378565954;1,085063316;-118,9282977;0;;;;;
194;-0,931861268;1,241534775;-53,40693661;1;;;;;
195;-0,476912216;0,863628351;-76,15438922;1;;;;;
196;0,505922681;1,085564752;-125,2961341;0;;;;;
197;-0,339659953;0,948405461;-83,01700236;1;;;;;
198;-1,565853404;1,177975524;-21,70732982;1;;;;;
199;-0,347369403;1,233455496;-82,63152984;1;;;;;
200;-1,74999638;0,974044843;-12,50018098;1;;;;;
