;mean;sd;bias;cp;;Mean means;Mean SDs;Mean bias;Mean cps
1;-2,206198402;0,075985482;10,30992008;0;;-1,995977716;0,078347682;-0,201114176;0,95
2;-2,085260968;0,08018045;4,263048384;1;;;;;
3;-1,994459583;0,077766652;-0,277020871;1;;;;;
4;-1,982638434;0,079508071;-0,868078282;1;;;;;
5;-1,974259277;0,079587247;-1,28703613;1;;;;;
6;-1,945530881;0,075039911;-2,72345596;1;;;;;
7;-2,053912397;0,073579046;2,695619851;1;;;;;
8;-1,819643742;0,095289054;-9,017812912;1;;;;;
9;-2,046640454;0,075599289;2,332022696;1;;;;;
10;-1,935065263;0,092880933;-3,246736874;1;;;;;
11;-2,099659347;0,080072021;4,982967333;1;;;;;
12;-1,860070054;0,076812352;-6,996497313;1;;;;;
13;-1,989678164;0,077639221;-0,516091787;1;;;;;
14;-1,960615845;0,07672658;-1,969207769;1;;;;;
15;-1,915851981;0,077916508;-4,207400964;1;;;;;
16;-1,998755424;0,079338693;-0,062228804;1;;;;;
17;-2,008921326;0,079465261;0,446066324;1;;;;;
18;-2,072957073;0,073775664;3,647853634;1;;;;;
19;-1,966834512;0,077478735;-1,65827439;1;;;;;
20;-1,903954053;0,082644306;-4,802297342;1;;;;;
21;-1,98075036;0,072270221;-0,962481996;1;;;;;
22;-1,934674691;0,081312462;-3,266265451;1;;;;;
23;-2,070063701;0,074392664;3,503185039;1;;;;;
24;-2,033465225;0,076745957;1,673261234;1;;;;;
25;-1,985155012;0,077587352;-0,742249409;1;;;;;
26;-1,982977664;0,084332832;-0,851116802;1;;;;;
27;-2,044097693;0,073456321;2,204884627;1;;;;;
28;-1,943756422;0,098946067;-2,812178887;1;;;;;
29;-1,96935762;0,082805752;-1,532119011;1;;;;;
30;-1,904017378;0,079095464;-4,799131118;1;;;;;
31;-2,045164136;0,077575219;2,258206777;1;;;;;
32;-1,878739367;0,075144458;-6,063031663;1;;;;;
33;-1,969192997;0,075459657;-1,540350171;1;;;;;
34;-1,996562667;0,080935699;-0,17186665;1;;;;;
35;-2,053449559;0,077233779;2,672477934;1;;;;;
36;-1,984400079;0,071141041;-0,779996059;1;;;;;
37;-2,058247036;0,08202717;2,912351823;1;;;;;
38;-1,95959343;0,073174275;-2,020328507;1;;;;;
39;-2,042694819;0,07668591;2,134740935;1;;;;;
40;-2,043755992;0,084720606;2,18779959;1;;;;;
41;-1,983372286;0,084161274;-0,831385687;1;;;;;
42;-2,042197754;0,083280813;2,109887714;1;;;;;
43;-2,062867858;0,075885536;3,143392893;1;;;;;
44;-2,056513983;0,075910464;2,825699132;1;;;;;
45;-1,906089977;0,071682661;-4,69550113;1;;;;;
46;-1,963935969;0,079960434;-1,80320157;1;;;;;
47;-1,914309068;0,072422976;-4,284546598;1;;;;;
48;-1,943205095;0,071317385;-2,839745231;1;;;;;
49;-1,852802244;0,080356436;-7,35988782;1;;;;;
50;-2,055347567;0,081390424;2,767378329;1;;;;;
51;-2,013046897;0,077496887;0,652344864;1;;;;;
52;-2,143822634;0,076266156;7,191131701;1;;;;;
53;-1,926258323;0,074429234;-3,687083856;1;;;;;
54;-1,999897409;0,079068513;-0,005129541;1;;;;;
55;-2,132564039;0,076249627;6,62820193;1;;;;;
56;-2,065157537;0,079767839;3,257876836;1;;;;;
