;mean;sd;bias;cp;;Mean means;Mean Sds;Mean bias;Mean CP
1;2,284959894;2,371436288;-54,30080213;1;;2,280669117;2,006793512;-54,38661765;0,786
2;4,693958667;3,421809876;-6,120826661;1;;;;;
3;4,564042391;2,672283518;-8,719152171;1;;;;;
4;2,901454724;2,273046639;-41,97090552;1;;;;;
5;1,28438224;1,546490658;-74,3123552;1;;;;;
6;2,679371309;2,474134567;-46,41257382;1;;;;;
7;1,369446557;1,403128236;-72,61106885;0;;;;;
8;1,670932309;2,0091953;-66,58135383;1;;;;;
9;3,844373846;2,562878903;-23,11252309;1;;;;;
10;3,053105376;2,846263459;-38,93789248;1;;;;;
11;1,523667089;1,662561801;-69,52665822;1;;;;;
12;2,320453023;2,209751389;-53,59093954;1;;;;;
13;1,295726552;1,56636158;-74,08546895;1;;;;;
14;5,888831138;2,836257412;17,77662276;1;;;;;
15;0,96219269;1,175547135;-80,7561462;0;;;;;
16;1,528540715;1,666075858;-69,4291857;1;;;;;
17;3,508177847;3,294468427;-29,83644305;1;;;;;
18;1,864298316;2,378486547;-62,71403368;1;;;;;
19;3,862074223;3,011850359;-22,75851553;1;;;;;
20;1,50158883;1,869767226;-69,96822339;1;;;;;
21;1,124170051;1,383591431;-77,51659898;0;;;;;
22;1,766348075;1,594163764;-64,67303851;1;;;;;
23;2,212839007;2,367332691;-55,74321986;1;;;;;
24;1,214839784;1,552876477;-75,70320432;1;;;;;
25;1,008251481;1,383588758;-79,83497038;1;;;;;
26;2,026274868;2,180002742;-59,47450264;1;;;;;
27;1,424910333;1,730125322;-71,50179334;1;;;;;
28;1,801564577;1,801599186;-63,96870847;1;;;;;
29;1,883443831;2,015391811;-62,33112338;1;;;;;
30;1,225752673;1,370111022;-75,48494654;0;;;;;
31;1,640155749;1,754202869;-67,19688502;1;;;;;
32;3,113149481;2,469570704;-37,73701038;1;;;;;
33;2,161515058;2,005573444;-56,76969884;1;;;;;
34;4,997081612;2,809029172;-0,058367764;1;;;;;
35;1,502456106;1,804175156;-69,95087789;1;;;;;
36;0,656411419;0,879957236;-86,87177162;0;;;;;
37;1,642954153;2,034429245;-67,14091695;1;;;;;
38;1,008952007;1,277992077;-79,82095986;0;;;;;
39;1,779037509;2,000477033;-64,41924981;1;;;;;
40;3,787295309;2,537839549;-24,25409382;1;;;;;
41;1,012151273;1,447180672;-79,75697453;1;;;;;
42;4,334056958;2,804371442;-13,31886085;1;;;;;
43;1,346233009;1,717659653;-73,07533983;1;;;;;
44;1,028406722;1,27179119;-79,43186557;0;;;;;
45;2,798566142;2,643194273;-44,02867715;1;;;;;
46;2,652552912;2,819341078;-46,94894176;1;;;;;
47;0,633649123;0,787364107;-87,32701755;0;;;;;
48;1,065262232;1,427268889;-78,69475535;1;;;;;
49;1,574149849;1,764286217;-68,51700302;1;;;;;
50;0,882198425;1,194858227;-82,3560315;0;;;;;
51;1,902328499;1,900745085;-61,95343001;1;;;;;
52;4,36637083;3,159475175;-12,67258341;1;;;;;
53;6,094439055;3,919594243;21,8887811;1;;;;;
54;1,447203927;1,522726889;-71,05592147;1;;;;;
55;2,596146151;2,545416884;-48,07707697;1;;;;;
56;1,591198083;1,746569927;-68,17603835;1;;;;;
57;2,376221579;1,991706148;-52,47556843;1;;;;;
58;2,498732963;2,052178942;-50,02534073;1;;;;;
59;1,714021542;1,823094182;-65,71956917;1;;;;;
60;1,939631652;2,588083893;-61,20736695;1;;;;;
61;3,491512919;2,843383732;-30,16974162;1;;;;;
62;1,421809488;1,632203037;-71,56381025;1;;;;;
63;5,294974041;2,291624303;5,899480829;1;;;;;
64;0,928125314;1,034441608;-81,43749372;0;;;;;
65;2,847450405;2,676259186;-43,05099189;1;;;;;
66;0,719492159;0,944413355;-85,61015683;0;;;;;
67;2,426160765;2,089894682;-51,47678469;1;;;;;
68;2,676867588;2,430424696;-46,46264823;1;;;;;
69;3,551525362;3,034589007;-28,96949276;1;;;;;
70;2,188998505;2,336743301;-56,2200299;1;;;;;
71;1,887593695;2,101233098;-62,24812611;1;;;;;
72;3,122833715;1,938035261;-37,54332569;1;;;;;
73;1,100014166;1,27949831;-77,99971668;0;;;;;
74;1,037330213;1,364403964;-79,25339573;0;;;;;
75;2,741279571;2,569705292;-45,17440858;1;;;;;
76;1,48126222;1,57892092;-70,37475559;1;;;;;
77;1,603752953;1,575969125;-67,92494093;1;;;;;
78;3,261093227;2,852558034;-34,77813546;1;;;;;
79;4,054964197;2,37183704;-18,90071605;1;;;;;
80;2,106856546;2,500700801;-57,86286908;1;;;;;
81;1,713509694;1,93103718;-65,72980612;1;;;;;
82;0,943639971;1,189591517;-81,12720059;0;;;;;
83;4,793018435;2,970149569;-4,139631306;1;;;;;
84;1,178238813;1,505712809;-76,43522373;1;;;;;
85;5,600907747;3,089555381;12,01815495;1;;;;;
86;6,051459725;2,662096033;21,02919451;1;;;;;
87;6,438959836;2,760629692;28,77919672;1;;;;;
88;4,051701036;2,973949111;-18,96597928;1;;;;;
89;1,763983539;1,922862034;-64,72032922;1;;;;;
90;0,87571657;1,168371527;-82,48566861;0;;;;;
91;2,58847076;2,045080771;-48,23058481;1;;;;;
92;1,062206933;1,30827605;-78,75586134;0;;;;;
93;1,090742052;1,371888032;-78,18515895;0;;;;;
94;1,032873438;1,280269017;-79,34253123;0;;;;;
95;5,179160886;3,488803775;3,583217727;1;;;;;
96;1,348243738;1,614276739;-73,03512525;1;;;;;
97;4,215721617;3,263251754;-15,68556767;1;;;;;
98;1,226438076;1,717827859;-75,47123848;1;;;;;
99;0,874447623;1,209035158;-82,51104754;0;;;;;
100;1,470495443;1,659656152;-70,59009113;1;;;;;
101;1,091336267;1,150872663;-78,17327466;0;;;;;
102;2,020062285;1,966069617;-59,5987543;1;;;;;
103;2,577106629;2,365389659;-48,45786741;1;;;;;
104;1,718450465;1,89964955;-65,63099069;1;;;;;
105;0,861628895;1,152708776;-82,76742211;0;;;;;
106;2,904606477;2,474101916;-41,90787047;1;;;;;
107;4,816895421;2,794687901;-3,662091574;1;;;;;
108;0,891921647;1,155843864;-82,16156706;0;;;;;
109;1,75866926;1,855094479;-64,82661479;1;;;;;
110;1,061011389;1,322818145;-78,77977221;0;;;;;
111;2,198057445;2,154715084;-56,03885111;1;;;;;
112;1,161651192;1,600590584;-76,76697616;1;;;;;
113;1,721137268;1,831680761;-65,57725463;1;;;;;
114;1,358766996;1,501771887;-72,82466008;1;;;;;
115;1,610184689;2,009310681;-67,79630622;1;;;;;
116;3,783695839;3,068582315;-24,32608323;1;;;;;
117;2,455530226;2,253122788;-50,88939549;1;;;;;
118;4,215511244;3,252442624;-15,68977513;1;;;;;
119;1,199147919;1,515600876;-76,01704163;1;;;;;
120;1,095671021;1,306184579;-78,08657959;0;;;;;
121;2,353989074;2,668493892;-52,92021851;1;;;;;
122;3,068428008;2,199193392;-38,63143984;1;;;;;
123;0,857905048;1,191771608;-82,84189903;0;;;;;
124;1,234554727;1,61077021;-75,30890547;1;;;;;
125;2,364604587;2,093956431;-52,70790826;1;;;;;
126;1,357149128;1,679383049;-72,85701744;1;;;;;
127;0,637184152;0,833723713;-87,25631696;0;;;;;
128;2,492037981;2,828049629;-50,15924038;1;;;;;
129;5,221613451;3,18429889;4,432269012;1;;;;;
130;4,296245041;3,053493134;-14,07509918;1;;;;;
131;1,089612847;1,401219167;-78,20774307;1;;;;;
132;2,987122684;2,725507089;-40,25754632;1;;;;;
133;2,809624353;2,593341452;-43,80751294;1;;;;;
134;5,441809535;3,79087387;8,836190692;1;;;;;
135;2,074741547;2,054942759;-58,50516906;1;;;;;
136;6,747724566;4,294228064;34,95449131;1;;;;;
137;1,335879008;1,821541897;-73,28241984;1;;;;;
138;2,428262742;2,119744257;-51,43474516;1;;;;;
139;1,724424592;1,847455197;-65,51150816;1;;;;;
140;4,581538056;2,289055082;-8,369238882;1;;;;;
141;1,303189056;1,670251857;-73,93621887;1;;;;;
142;2,390398466;1,972041146;-52,19203067;1;;;;;
143;1,813793853;1,965319333;-63,72412294;1;;;;;
144;1,22598302;1,602622107;-75,48033959;1;;;;;
145;3,412658606;2,608657453;-31,74682787;1;;;;;
146;1,775469547;2,082988671;-64,49060905;1;;;;;
147;1,061620556;1,504881421;-78,76758889;1;;;;;
148;1,157776803;1,564939454;-76,84446394;1;;;;;
149;1,895138451;1,59788003;-62,09723097;1;;;;;
150;1,061246369;1,424145883;-78,77507262;1;;;;;
151;1,347184693;1,629817888;-73,05630615;1;;;;;
152;1,12496598;1,402715086;-77,5006804;1;;;;;
153;3,163932012;1,978104178;-36,72135976;1;;;;;
154;1,518242215;1,831994629;-69,6351557;1;;;;;
155;5,31544977;3,247737966;6,308995406;1;;;;;
156;2,382880328;2,110771675;-52,34239345;1;;;;;
157;1,162720698;1,442836639;-76,74558604;1;;;;;
158;1,993009888;2,27122138;-60,13980224;1;;;;;
159;1,244684794;1,669084973;-75,10630412;1;;;;;
160;3,023697863;2,558667842;-39,52604274;1;;;;;
161;4,655500864;2,816172117;-6,889982723;1;;;;;
162;1,073638317;1,377802442;-78,52723366;0;;;;;
163;1,884438481;1,967979564;-62,31123039;1;;;;;
164;1,899287613;1,980503805;-62,01424774;1;;;;;
165;2,767979699;2,372860588;-44,64040601;1;;;;;
166;1,314371532;1,67883447;-73,71256935;1;;;;;
167;1,587884513;1,690263658;-68,24230973;1;;;;;
168;4,403373493;2,608487125;-11,93253013;1;;;;;
169;1,752319082;1,893994665;-64,95361835;1;;;;;
170;2,264147679;2,463966365;-54,71704642;1;;;;;
171;2,013468012;1,75601579;-59,73063976;1;;;;;
172;1,541405198;1,829734747;-69,17189604;1;;;;;
173;3,896295592;2,779854103;-22,07408816;1;;;;;
174;1,168649304;1,519207652;-76,62701392;1;;;;;
175;1,404976937;1,310545084;-71,90046127;0;;;;;
176;2,481969862;2,603694734;-50,36060276;1;;;;;
177;2,028216652;2,239892733;-59,43566695;1;;;;;
178;1,028071885;1,377760477;-79,43856229;0;;;;;
179;1,982933412;2,333368082;-60,34133175;1;;;;;
180;0,890121594;1,077749181;-82,19756812;0;;;;;
181;1,908754598;2,132704051;-61,82490803;1;;;;;
182;0,949936989;1,148235526;-81,00126022;0;;;;;
183;1,153877875;1,430687314;-76,92244251;0;;;;;
184;2,022168199;2,21065572;-59,55663603;1;;;;;
185;1,663902524;1,82515339;-66,72194952;1;;;;;
186;3,630803308;2,362693201;-27,38393384;1;;;;;
187;3,040735052;2,292440945;-39,18529896;1;;;;;
188;0,974138154;1,211970555;-80,51723692;0;;;;;
189;2,308531954;2,226978348;-53,82936093;1;;;;;
190;1,953438827;1,97762518;-60,93122346;1;;;;;
191;1,202863354;1,498797318;-75,94273293;1;;;;;
192;0,617996746;0,789542906;-87,64006507;0;;;;;
193;0,872331208;1,129632349;-82,55337584;0;;;;;
194;2,777399661;2,098689935;-44,45200678;1;;;;;
195;2,984173538;2,511134122;-40,31652925;1;;;;;
196;2,026608006;2,111398967;-59,46783988;1;;;;;
197;2,742759071;2,279940915;-45,14481859;1;;;;;
198;1,493845891;1,588099653;-70,12308218;1;;;;;
199;3,155345144;2,69431723;-36,89309712;1;;;;;
200;3,640137853;2,624607913;-27,19724293;1;;;;;
201;4,483440567;2,89393528;-10,33118867;1;;;;;
202;1,329703147;1,500261592;-73,40593707;1;;;;;
203;1,00859414;1,1986946;-79,8281172;0;;;;;
204;6,432002586;2,705859177;28,64005171;1;;;;;
205;6,412606596;3,875288266;28,25213191;1;;;;;
206;2,197516301;1,861177707;-56,04967399;1;;;;;
207;1,817175858;2,252995025;-63,65648285;1;;;;;
208;2,562322768;1,950311122;-48,75354463;1;;;;;
209;1,422329977;1,57022845;-71,55340047;1;;;;;
210;2,76862575;2,863422682;-44,62748501;1;;;;;
211;4,157736152;3,247580447;-16,84527696;1;;;;;
212;1,689847661;1,649385552;-66,20304678;1;;;;;
213;3,662407273;3,370124955;-26,75185454;1;;;;;
214;2,322867385;2,120986523;-53,5426523;1;;;;;
215;2,210279904;1,72410796;-55,79440193;1;;;;;
216;0,790988474;1,035616081;-84,18023052;0;;;;;
217;1,8563949;2,120065554;-62,872102;1;;;;;
218;2,064950605;2,05538756;-58,70098789;1;;;;;
219;5,5909135;3,254627795;11,81827;1;;;;;
220;2,906078959;2,284097331;-41,87842083;1;;;;;
221;1,247207361;1,45136411;-75,05585279;0;;;;;
222;1,111832733;1,31420815;-77,76334534;0;;;;;
223;0,811680625;1,099649683;-83,7663875;0;;;;;
224;1,805394937;1,922588635;-63,89210126;1;;;;;
225;1,82951695;2,152253016;-63,40966101;1;;;;;
226;4,266330575;2,854803973;-14,6733885;1;;;;;
227;2,221074196;1,960947511;-55,57851608;1;;;;;
228;2,81361458;2,508926738;-43,7277084;1;;;;;
229;1,183577988;1,450920085;-76,32844024;1;;;;;
230;1,799713186;2,022683165;-64,00573627;1;;;;;
231;6,919035632;3,023955825;38,38071264;1;;;;;
232;4,196153001;2,618948893;-16,07693998;1;;;;;
233;0,927552148;1,111415362;-81,44895705;0;;;;;
234;3,370981983;2,12739943;-32,58036033;1;;;;;
235;2,000666861;2,311600374;-59,98666279;1;;;;;
236;2,842772003;2,543255298;-43,14455994;1;;;;;
237;3,782371797;3,639278911;-24,35256406;1;;;;;
238;2,189355628;2,546391806;-56,21288743;1;;;;;
239;0,78588676;0,985804466;-84,28226479;0;;;;;
240;0,563073708;0,74925554;-88,73852584;0;;;;;
241;1,779965745;1,970046714;-64,4006851;1;;;;;
242;2,383999949;2,790701691;-52,32000101;1;;;;;
243;2,302261322;2,11690555;-53,95477355;1;;;;;
244;1,891455564;2,308792468;-62,17088872;1;;;;;
245;2,975740476;3,248619092;-40,48519047;1;;;;;
246;2,106529435;2,514149457;-57,8694113;1;;;;;
247;2,417085836;2,809363103;-51,65828328;1;;;;;
248;0,791981986;1,065172211;-84,16036028;0;;;;;
249;0,824957926;1,017085305;-83,50084147;0;;;;;
250;1,212862782;1,473455509;-75,74274436;1;;;;;
251;0,910868639;1,063093675;-81,78262722;0;;;;;
252;1,680191415;1,76329483;-66,3961717;1;;;;;
253;6,811070932;2,617962537;36,22141863;1;;;;;
254;4,656733625;3,759349634;-6,8653275;1;;;;;
255;2,492378208;2,168886825;-50,15243583;1;;;;;
256;0,823475671;1,064370729;-83,53048658;0;;;;;
257;1,332121258;1,669342433;-73,35757484;1;;;;;
258;1,720989288;1,793536259;-65,58021424;1;;;;;
259;1,165489097;1,460034101;-76,69021806;1;;;;;
