;mean;sd;bias;cp;;Mean means;Mean sds;Mean bias;Mean CP
1;1,201545328;1,59911788;-75,96909343;1;;1,586021269;1,916367797;-68,27957463;0,786
2;1,204475944;1,574718547;-75,91048112;1;;;;;
3;1,869219626;2,401400821;-62,61560748;1;;;;;
4;1,335694163;1,886837103;-73,28611673;1;;;;;
5;1,407247491;1,953980262;-71,85505019;1;;;;;
6;2,378366198;2,369201357;-52,43267604;1;;;;;
7;2,382928238;2,560313656;-52,34143524;1;;;;;
8;1,059381538;1,652935827;-78,81236924;1;;;;;
9;3,17532253;2,845829444;-36,49354941;1;;;;;
10;1,012266851;1,338887657;-79,75466298;0;;;;;
11;1,294213798;1,888817546;-74,11572404;1;;;;;
12;0,864821563;1,180112559;-82,70356873;0;;;;;
13;1,00159563;1,405632192;-79,96808741;1;;;;;
14;1,529731664;1,961165956;-69,40536671;1;;;;;
15;2,201869274;2,688389963;-55,96261452;1;;;;;
16;1,363032372;1,877271189;-72,73935256;1;;;;;
17;1,812213259;2,197131233;-63,75573482;1;;;;;
18;1,708476268;1,981038676;-65,83047464;1;;;;;
19;1,284360024;1,73394195;-74,31279953;1;;;;;
20;1,295964478;1,722163164;-74,08071045;1;;;;;
21;3,294116424;2,894422593;-34,11767151;1;;;;;
22;1,301738428;1,918821243;-73,96523145;1;;;;;
23;0,947691363;1,348490279;-81,04617275;0;;;;;
24;0,89763665;1,247616542;-82,04726701;0;;;;;
25;1,901153183;2,472700331;-61,97693633;1;;;;;
26;1,118511621;1,619285374;-77,62976757;1;;;;;
27;4,496885861;3,870928074;-10,06228279;1;;;;;
28;1,616614944;2,33679585;-67,66770111;1;;;;;
29;0,928893305;1,301407024;-81,4221339;0;;;;;
30;3,980881159;3,500262242;-20,38237681;1;;;;;
31;1,233902331;1,838091979;-75,32195338;1;;;;;
32;1,212324916;1,669763905;-75,75350168;1;;;;;
33;0,868757428;1,332545832;-82,62485144;0;;;;;
34;2,692916643;2,543430229;-46,14166713;1;;;;;
35;1,272436039;1,633705735;-74,55127921;1;;;;;
36;1,589180667;2,067444653;-68,21638665;1;;;;;
37;1,122654023;1,525818776;-77,54691953;1;;;;;
38;1,481491428;2,098229814;-70,37017144;1;;;;;
39;0,970092011;1,449497604;-80,59815979;0;;;;;
40;0,930620732;1,370056466;-81,38758535;0;;;;;
41;1,287467031;1,514246739;-74,25065938;1;;;;;
42;2,521494176;2,883497662;-49,57011647;1;;;;;
43;1,46800547;2,049346725;-70,6398906;1;;;;;
44;1,59911338;1,785531498;-68,01773239;1;;;;;
45;2,023765778;2,523936562;-59,52468444;1;;;;;
46;1,019590362;1,340818106;-79,60819276;0;;;;;
47;2,423984139;2,860452184;-51,52031722;1;;;;;
48;5,010950695;3,508199729;0,219013907;1;;;;;
49;3,740841787;3,443444234;-25,18316426;1;;;;;
50;1,682176449;2,236799194;-66,35647102;1;;;;;
51;4,025091582;3,306822652;-19,49816837;1;;;;;
52;1,791703928;2,134361966;-64,16592143;1;;;;;
53;0,907692633;1,247931121;-81,84614734;0;;;;;
54;2,172799771;2,678312705;-56,54400457;1;;;;;
55;1,519743339;2,103011377;-69,60513322;1;;;;;
56;1,250800943;1,615579347;-74,98398114;1;;;;;
57;1,079000827;1,547873055;-78,41998347;1;;;;;
58;0,911139447;1,27583594;-81,77721105;0;;;;;
59;1,226849746;1,692498439;-75,46300508;1;;;;;
