;mean;sd;bias;cp;;Mean means;Mean SDs;Mean bias;Mean cps
1;5,868563496;0,354925516;17,37126991;0;;4,991586226;0,340757374;-0,168275476;0,956
2;5,277150999;0,351007991;5,543019976;1;;;;;
3;4,980184407;0,338213747;-0,396311862;1;;;;;
4;4,998446471;0,346902459;-0,031070583;1;;;;;
5;4,881120445;0,349641495;-2,377591108;1;;;;;
6;4,807803115;0,322984073;-3,843937692;1;;;;;
7;5,10754999;0,334661374;2,150999797;1;;;;;
8;4,296809457;0,364873542;-14,06381087;1;;;;;
9;5,190682298;0,336868193;3,813645952;1;;;;;
10;4,801279685;0,372380966;-3,974406292;1;;;;;
11;5,733252016;0,359856426;14,66504033;0;;;;;
12;4,183201345;0,316092261;-16,3359731;0;;;;;
13;4,974757248;0,336912349;-0,504855037;1;;;;;
14;4,625287875;0,322414135;-7,494242506;1;;;;;
15;4,463575134;0,321364391;-10,72849731;1;;;;;
16;5,051476981;0,341007003;1,029539612;1;;;;;
17;5,027804463;0,342744554;0,556089255;1;;;;;
18;5,407609971;0,337858944;8,15219943;1;;;;;
19;4,967439891;0,338790488;-0,651202183;1;;;;;
20;4,817051782;0,35180447;-3,658964355;1;;;;;
21;5,160655447;0,319900711;3,213108933;1;;;;;
22;4,907165682;0,354097579;-1,856686364;1;;;;;
23;5,315516735;0,332367164;6,310334705;1;;;;;
24;5,080771767;0,336000478;1,61543535;1;;;;;
25;4,935320385;0,337940585;-1,293592296;1;;;;;
26;4,982528952;0,355476116;-0,349420962;1;;;;;
27;5,10109344;0,323492097;2,021868796;1;;;;;
28;4,520809793;0,382307219;-9,583804145;1;;;;;
29;5,157615396;0,365219702;3,15230792;1;;;;;
30;4,493558624;0,335599844;-10,12882751;1;;;;;
31;5,277662611;0,344837163;5,553252215;1;;;;;
32;4,694945149;0,32400067;-6,101097023;1;;;;;
33;4,829863823;0,327914708;-3,402723535;1;;;;;
34;4,686109208;0,336931671;-6,277815833;1;;;;;
35;4,921941415;0,336770324;-1,561171694;1;;;;;
36;4,98398169;0,32408082;-0,320366191;1;;;;;
37;5,295103016;0,357950164;5,902060313;1;;;;;
38;4,86355661;0,325577697;-2,728867793;1;;;;;
39;5,163971288;0,344211334;3,279425763;1;;;;;
40;5,274024419;0,366656838;5,480488387;1;;;;;
41;5,081058529;0,358645724;1,621170577;1;;;;;
42;4,942640003;0,359343496;-1,147199932;1;;;;;
43;5,513651653;0,34881846;10,27303306;1;;;;;
44;5,08411772;0,331818695;1,682354399;1;;;;;
45;4,646964528;0,314998939;-7,060709434;1;;;;;
46;4,885980974;0,344451298;-2,280380521;1;;;;;
47;4,522267176;0,317470194;-9,554656475;1;;;;;
48;4,673139526;0,30766984;-6,537209487;1;;;;;
49;4,599242689;0,336644736;-8,015146221;1;;;;;
50;5,25850804;0,355607122;5,17016079;1;;;;;
51;5,2760021;0,3443866;5,520042005;1;;;;;
52;5,591016224;0,353407103;11,82032448;1;;;;;
53;4,846888502;0,325122551;-3,062229968;1;;;;;
54;4,811523021;0,333323391;-3,769539575;1;;;;;
55;5,380360439;0,34448013;7,607208772;1;;;;;
56;5,312850429;0,352509309;6,257008582;1;;;;;
57;4,784673346;0,34317783;-4,306533071;1;;;;;
58;4,654379704;0,32729786;-6,912405915;1;;;;;
