"";"x"
"1";0,4
"2";0,26
"3";0,28
"4";0,26
"5";0,26
"6";0,16
"7";0,4
"8";0,24
"9";0,26
"10";0,4
"11";0,24
"12";0,18
"13";0,36
"14";0,34
"15";0,32
"16";0,42
"17";0,26
"18";0,26
"19";0,4
"20";0,42
"21";0,32
"22";0,48
"23";0,26
"24";0,44
"25";0,3
"26";0,4
"27";0,36
"28";0,22
"29";0,3
"30";0,28
"31";0,42
"32";0,38
"33";0,34
"34";0,32
"35";0,4
"36";0,32
"37";0,44
"38";0,48
"39";0,32
"40";0,44
"41";0,28
"42";0,3
"43";0,5
"44";0,26
"45";0,32
"46";0,28
"47";0,28
"48";0,16
"49";0,22
"50";0,34
"51";0,24
"52";0,24
"53";0,28
"54";0,3
"55";0,42
"56";0,34
"57";0,24
"58";0,22
"59";0,32
"60";0,26
"61";0,26
"62";0,32
"63";0,34
"64";0,38
"65";0,38
"66";0,4
"67";0,38
"68";0,42
"69";0,34
"70";0,3
"71";0,3
"72";0,24
"73";0,3
"74";0,56
"75";0,34
"76";0,3
"77";0,34
"78";0,34
"79";0,26
"80";0,32
"81";0,18
"82";0,3
"83";0,3
"84";0,42
"85";0,22
"86";0,56
"87";0,5
"88";0,36
"89";0,36
"90";0,42
"91";0,34
"92";0,36
"93";0,3
"94";0,26
"95";0,46
"96";0,28
"97";0,28
"98";0,2
"99";0,36
"100";0,24
"101";0,38
"102";0,28
"103";0,32
"104";0,36
"105";0,34
"106";0,28
"107";0,3
"108";0,2
"109";0,34
"110";0,36
"111";0,24
"112";0,22
"113";0,4
"114";0,46
"115";0,26
"116";0,4
"117";0,22
"118";0,34
"119";0,34
"120";0,3
"121";0,36
"122";0,24
"123";0,32
"124";0,22
"125";0,28
"126";0,46
"127";0,36
"128";0,36
"129";0,42
"130";0,44
"131";0,38
"132";0,3
"133";0,3
"134";0,38
"135";0,38
"136";0,36
"137";0,26
"138";0,34
"139";0,34
"140";0,38
"141";0,28
"142";0,26
"143";0,3
"144";0,4
"145";0,42
"146";0,32
"147";0,28
"148";0,36
"149";0,3
"150";0,26
"151";0,46
"152";0,4
"153";0,3
"154";0,36
"155";0,3
"156";0,3
"157";0,44
"158";0,28
"159";0,38
"160";0,2
"161";0,38
"162";0,3
"163";0,34
"164";0,3
"165";0,3
"166";0,4
"167";0,42
"168";0,48
"169";0,28
"170";0,38
"171";0,28
"172";0,34
"173";0,42
"174";0,32
"175";0,36
"176";0,4
"177";0,38
"178";0,46
"179";0,3
"180";0,28
"181";0,28
"182";0,32
"183";0,38
"184";0,52
"185";0,48
"186";0,32
"187";0,24
"188";0,44
"189";0,3
"190";0,5
"191";0,42
"192";0,32
"193";0,32
"194";0,36
"195";0,26
"196";0,28
"197";0,36
"198";0,5
"199";0,3
"200";0,32
"201";0,3
"202";0,56
"203";0,36
"204";0,22
"205";0,26
"206";0,38
"207";0,38
"208";0,32
"209";0,34
"210";0,28
"211";0,22
"212";0,36
"213";0,38
"214";0,4
"215";0,42
"216";0,3
"217";0,28
"218";0,34
"219";0,28
"220";0,42
"221";0,38
"222";0,18
"223";0,44
"224";0,36
"225";0,4
"226";0,42
"227";0,38
"228";0,46
"229";0,26
"230";0,28
"231";0,28
"232";0,38
"233";0,24
"234";0,42
"235";0,26
"236";0,3
"237";0,26
"238";0,36
"239";0,22
"240";0,26
"241";0,36
"242";0,34
"243";0,18
"244";0,26
"245";0,26
"246";0,38
"247";0,52
"248";0,4
"249";0,3
"250";0,28
"251";0,38
"252";0,34
"253";0,24
"254";0,08
"255";0,4
"256";0,48
"257";0,36
"258";0,42
"259";0,4
"260";0,4
"261";0,24
"262";0,26
"263";0,32
"264";0,38
"265";0,3
"266";0,48
"267";0,42
"268";0,26
"269";0,32
"270";0,36
"271";0,32
"272";0,24
"273";0,32
"274";0,36
"275";0,38
"276";0,5
"277";0,36
"278";0,46
"279";0,32
"280";0,28
"281";0,36
"282";0,24
"283";0,38
"284";0,32
"285";0,4
"286";0,34
"287";0,24
"288";0,2
"289";0,2
"290";0,34
"291";0,26
"292";0,38
"293";0,3
"294";0,26
"295";0,32
"296";0,28
"297";0,22
"298";0,4
"299";0,34
"300";0,2
"301";0,34
"302";0,28
"303";0,38
"304";0,34
"305";0,32
"306";0,3
"307";0,36
"308";0,44
"309";0,26
"310";0,5
"311";0,38
"312";0,42
"313";0,4
"314";0,28
"315";0,32
"316";0,22
"317";0,5
"318";0,32
"319";0,4
"320";0,3
"321";0,42
"322";0,28
"323";0,3
"324";0,4
"325";0,34
"326";0,36
"327";0,42
"328";0,32
"329";0,38
"330";0,34
"331";0,38
"332";0,36
"333";0,32
"334";0,28
"335";0,34
"336";0,28
"337";0,4
"338";0,48
"339";0,38
"340";0,22
"341";0,4
"342";0,32
"343";0,36
"344";0,5
"345";0,26
"346";0,3
"347";0,44
"348";0,36
"349";0,24
"350";0,42
"351";0,32
"352";0,4
"353";0,34
"354";0,18
"355";0,32
"356";0,22
"357";0,26
"358";0,36
"359";0,4
"360";0,34
"361";0,32
"362";0,18
"363";0,32
"364";0,46
"365";0,3
"366";0,22
"367";0,24
"368";0,38
"369";0,3
"370";0,26
"371";0,48
"372";0,28
"373";0,22
"374";0,32
"375";0,34
"376";0,42
"377";0,58
"378";0,42
"379";0,26
"380";0,18
"381";0,46
"382";0,44
"383";0,24
"384";0,28
"385";0,42
"386";0,16
"387";0,32
"388";0,32
"389";0,28
"390";0,22
"391";0,26
"392";0,34
"393";0,36
"394";0,34
"395";0,2
"396";0,26
"397";0,34
"398";0,3
"399";0,52
"400";0,36
"401";0,32
"402";0,4
"403";0,28
"404";0,44
"405";0,46
"406";0,32
"407";0,24
"408";0,28
"409";0,38
"410";0,28
"411";0,24
"412";0,34
"413";0,4
"414";0,28
"415";0,26
"416";0,26
"417";0,28
"418";0,42
"419";0,4
"420";0,3
"421";0,18
"422";0,32
"423";0,42
"424";0,4
"425";0,36
"426";0,24
"427";0,3
"428";0,3
"429";0,5
"430";0,18
"431";0,34
"432";0,34
"433";0,38
"434";0,26
"435";0,42
"436";0,36
"437";0,22
"438";0,44
"439";0,42
"440";0,22
"441";0,28
"442";0,3
"443";0,28
"444";0,42
"445";0,36
"446";0,32
"447";0,32
"448";0,26
"449";0,38
"450";0,56
"451";0,44
"452";0,3
"453";0,46
"454";0,52
"455";0,26
"456";0,24
"457";0,3
"458";0,38
"459";0,58
"460";0,36
"461";0,44
"462";0,36
"463";0,4
"464";0,28
"465";0,44
"466";0,38
"467";0,28
"468";0,26
"469";0,38
"470";0,28
"471";0,38
"472";0,2
"473";0,42
"474";0,26
"475";0,32
"476";0,58
"477";0,32
"478";0,44
"479";0,32
"480";0,52
"481";0,4
"482";0,34
"483";0,38
"484";0,42
"485";0,3
"486";0,32
"487";0,32
"488";0,4
"489";0,34
"490";0,28
"491";0,26
"492";0,2
"493";0,4
"494";0,4
"495";0,26
"496";0,32
"497";0,26
"498";0,26
"499";0,34
"500";0,46
