"";"alpha";"beta";"lambda";"lp"
"1";760,797685794697;792,832958209096;863,427609208525;853,024781225507
"2";931,803378796257;1009,75635306974;1241,91852459176;702,451159906243
"3";827,416684477928;872,244806169497;1118,21788228872;844,23276325262
"4";842,222723973481;763,891375164394;1005,13194711712;1011,10251726816
"5";1244,29125404021;1186,66761640188;1334,14475152506;1206,10506221308
"6";1044,7001498924;1017,90269308312;1203,530280651;1166,16515526438
"7";903,799147493029;886,902666827728;980,741233040309;996,415875447685
"8";1016,11754698685;938,201802551887;1017,02116242447;1122,25254032356
"9";684,438984624374;845,703162782776;1160,70161714922;762,31040210907
"10";925,806694986849;909,214717007517;986,562555880257;1056,45020642669
"11";875,326344807697;983,035988759807;1180,43496323035;756,866203064043
"12";855,514056340439;751,496915944249;676,439170742205;973,783700000856
"13";1094,31178750121;1069,8985092642;1206,81295519679;1160,41656884772
"14";740,160986087633;815,89331293955;1038,46181172462;662,600963646531
"15";1141,80843744035;1067,60745755872;1253,08817280941;1121,47739730785
"16";1084,628136637;1010,35032778309;1138,62976557613;1279,13160456183
"17";847,071288741993;887,967239544907;1030,87217950096;841,417071842288
"18";729,482584106465;782,094336167988;942,346345887859;1167,2091568875
"19";545,141763751906;583,045375683885;704,595457265823;639,389868615025
"20";1011,36729642814;928,886798512284;1036,22730681304;1213,23486584564
"21";1409,98431027069;1240,60828510227;1388,72636905471;1392,06432165397
"22";1078,26895845656;1016,95548781468;1267,54198065088;849,770055864806
"23";782,100067305639;832,706371116363;945,573056775958;806,062729172677
"24";1085,80672168766;930,403108099249;1069,44009648112;1256,94431908478
"25";1194,64904393258;1006,7477459197;1100,19279347601;954,984529226455
"26";1194,05166156555;1092,4854480942;1254,78662802505;1292,27297040418
"27";1240,49156227753;1145,92704226662;1285,03344780513;1195,63367348369
"28";1004,51977193446;975,740830148779;1069,64965564125;1079,03467065183
"29";1118,49756855849;1089,60874083269;1251,71363603209;1154,46812378276
"30";1025,46676899365;974,522715484952;1030,9229177701;979,485098705897
"31";845,945887674194;891,527097136883;1023,30391864143;868,669543608585
"32";848,772592994971;891,103025785969;1077,1394457675;857,600260278754
"33";868,507227700929;940,082137355988;1147,63630709022;731,165398349172
"34";425,623266636389;510,066292769748;726,176828716823;407,054820793784
"35";886,460787449242;829,327733072425;950,075938147197;949,202481532734
"36";1378,72077593627;1153,78350783396;1281,06060243102;1239,30301919748
"37";1136,27167437136;1023,49239524135;1208,32565852818;1024,7296250661
"38";1430,33411305457;1148,66500906414;1216,09449169935;1490,22394656671
"39";992,434724565835;1017,40575241341;1176,79281039887;1003,87072965
"40";857,70738937903;951,42453617708;1262,932917563;655,541758864547
"41";794,418502694748;760,613021169263;865,443574540105;1034,64854963542
"42";901,56315791021;1026,57252931776;1304,98944370233;672,427749907407
"43";1207,36121641491;966,176776316256;1002,71813885626;1179,68016716762
"44";1110,59382855146;1034,43468864642;1175,42046687934;1038,35803924595
"45";611,232150952048;711,43311563769;876,371459286069;666,565618899094
"46";806,700464903507;808,697200372562;969,574926269639;892,35654573624
"47";1702,35175358183;1233,42190840601;1392,9329539848;1324,50276607086
"48";1074,11627763914;829,710218870777;904,068062480526;1431,18754357386
"49";1234,45333555449;1278,91553607121;1570,78887235271;1064,88942494648
"50";961,916919128895;873,522887252164;963,666797750427;1243,03207633196
"51";872,457013557301;864,282329106102;1027,34028431549;679,635239098192
"52";808,131140215077;967,389421521311;1287,30990837368;760,661339531533
"53";533,858579699182;652,357417384404;872,774655933592;587,699056411045
"54";1083,55093542208;1005,02272826113;1147,01605482133;982,066524616818
"55";990,289701362368;975,39945507553;1113,78437055864;849,26912063718
"56";948,27697996128;859,913271357291;946,321873154968;953,010371948981
"57";1039,63217597041;1095,62599951715;1289,9162338806;1229,88622776902
"58";770,396244971394;848,996988351345;1037,20365251668;780,216065394822
"59";963,567267806609;997,690846043328;1127,87641613867;1044,89002908069
"60";915,381473214362;833,013950000202;924,567012212386;1187,83352306293
"61";838,255102927202;934,497863187038;1163,16002516336;756,275518444819
"62";1182,17517138088;1102,80798987787;1256,07640651938;1184,33773441821
"63";720,644650568129;777,4028057127;965,264327199487;637,636389470203
"64";1022,95558679484;937,98444720226;1061,26788217432;1181,66857399823
"65";571,977384220066;656,211029224723;834,284415238081;699,779660493526
"66";1141,00779254805;1040,09272579128;1189,31026203505;991,845906400349
"67";823,812535821953;857,496835367114;1084,50567599908;835,470566343777
"68";845,48692244199;937,782437571601;1154,88632816409;928,61473121596
"69";542,344999691074;668,990590416087;861,193125313635;481,80752731116
"70";1014,41189002779;940,466996567986;1049,52480296877;1106,62118612565
"71";1244,02873798783;1019,75441485883;1165,1000537434;985,876865363293
"72";719,401506660475;826,253027175592;1095,59195810695;630,147282205995
"73";864,753216925366;771,341517238989;834,912866615836;690,598922898415
"74";1213,96871334592;934,693638036703;1044,78137730556;1319,79209689029
"75";767,934200633583;764,857562618104;899,741419211447;949,460468579295
"76";790,650500007623;855,537919325527;993,150788900781;843,206967725191
"77";936,473992577171;943,575654227678;1068,01406812517;759,950096231735
"78";674,005047463776;730,399208360957;882,372257603968;766,338260671474
"79";629,744992563054;756,047330920223;950,483630067168;624,80925508378
"80";749,156064521694;716,745833033609;833,248607735268;597,660421880376
"81";877,046758624771;866,29741046085;987,1545933667;989,037395068023
"82";1272,79318505184;1301,35605652032;1487,03374049763;1455,08199538478
"83";521,195442862205;679,611223153785;947,777966130764;569,370798692032
"84";1095,49290502319;950,703068310011;1024,04829446679;878,128564185927
"85";652,216013421649;831,816926836587;1252,4773967499;688,168299445046
"86";904,950798435461;890,582855660031;1160,77530388491;785,532372337889
"87";492,884374002009;594,096573270009;896,233991190053;354,203360096036
"88";704,561956082583;825,114160027252;1010,78395148058;747,017047824554
"89";1146,6058008794;1039,00431375641;1224,79800349583;1245,48666223785
"90";1314,1697265564;1105,74835540858;1193,00482422245;1180,63443108718
"91";1094,79070756837;1081,79843275283;1241,85949121741;1068,10634182395
"92";1130,58891156471;982,46940075477;1044,4243796561;831,070239719556
"93";874,046415344936;833,542475080495;934,446870323634;1020,87042491236
"94";1355,40904254778;1180,53826219825;1281,28950731704;1428,99654499447
"95";716,048538990158;774,841168370603;1002,08904435542;697,897287799145
"96";962,940462583647;928,682602530871;1012,44927803229;912,725613857514
"97";1000,95083620253;959,935897074619;1145,25786797714;1011,47777631091
"98";785,262798615988;713,323204846053;762,329044646783;1288,49225588047
"99";1180,82564526998;1000,22801650765;1127,86190139202;993,761047767874
"100";1103,32018119075;1149,84660055499;1335,30834005657;918,81737441254
"101";921,166504371718;908,898604507286;1042,78018567367;1015,74724254167
"102";743,02973411689;818,980726252877;976,386505654835;730,23030054943
"103";988,774413185813;960,189587700787;1089,63020491593;758,648685227081
"104";1053,06924975533;978,558122576528;1068,36330065981;927,218375987637
"105";1065,14716859812;883,976012938769;1017,87932024569;1234,3340435017
"106";1046,6904744117;1101,21131494525;1280,10237644478;1356,56413327027
"107";749,749590875951;814,279859465984;1011,69180304156;736,895851266568
"108";1489,20286678626;1318,50196941361;1473,57034358552;1285,74300761493
"109";810,309904029456;858,994442577115;1002,30572480513;885,741335795159
"110";1575,63720641678;1319,58821456364;1450,61833935515;1243,0363311589
"111";1078,23109608572;1148,1645158118;1364,8551318723;982,736183033489
"112";922,721387539295;778,985615771385;862,59081915304;1418,1990744289
"113";1056,12652714079;1071,74257439163;1247,29004352971;1069,42483037148
"114";1042,94596949273;940,256697872349;1064,84695940681;1044,18991903345
"115";941,725412061457;822,91054173945;971,591643385835;1055,53411397884
"116";598,06786996351;688,926934295942;935,703295617168;534,110888499492
"117";803,192980632085;832,884504387136;934,254826719643;1044,84125626189
"118";763,18528326247;865,555487957007;1079,75068677495;876,248758678175
"119";1230,84451006008;878,20321878729;1018,05295293226;1505,79657110777
"120";1061,8078567878;968,428671028086;1059,77724252769;1017,47818485481
"121";850,758775680011;822,280703339988;945,230747459852;868,9242059326
"122";731,967876474102;861,450998783405;1112,62736879035;759,531857797843
"123";994,682570778319;859,44708909176;944,457536868852;1540,80076941631
"124";842,03768080786;824,706495582094;909,650159143372;1324,76459348114
"125";727,128004984788;749,198008703003;869,307341119155;913,870299875183
"126";1295,11952298386;1149,22272031444;1236,62257414473;1270,60644532788
"127";1224,59765743507;999,535509951611;1106,68439568966;1143,08438212452
"128";918,128631596999;902,875870258337;1034,94093134741;868,884379344459
"129";817,097487381924;926,177614369839;1201,88812854263;791,672303536473
"130";468,847543946698;569,078947825256;738,237659093235;579,554030748036
"131";1071,33368932444;1023,42280845783;1175,9194973828;1289,21503532351
"132";753,5434294015;775,628591496494;915,135537984645;739,453738752266
"133";864,980326834129;924,979441970726;1058,82232394191;981,926395118289
"134";837,615455369456;837,156871650917;1012,40382629679;923,899090637739
"135";635,71945807283;666,84979882023;807,058194326526;805,324341351046
"136";1015,19169499719;1077,00946358805;1323,52664206399;942,814938886385
"137";1028,59490679584;913,876322332833;999,581433931716;870,362768183205
"138";576,91493976972;687,41718954093;876,287518726973;821,165994902707
"139";1116,39881838243;1072,91099974462;1010,55300971962;958,24885388971
"140";522,332341443405;748,146592455209;1065,76694767586;492,129933102617
"141";960,408826780347;871,51000172909;943,688118405143;1214,50842497667
"142";592,135340999664;723,958350086745;949,811924179353;668,892854612967
"143";830,541459319343;900,000376308768;1030,46434815188;738,894885097892
"144";758,118156319364;649,270778752672;677,426966816554;1021,42760092248
"145";666,488393152708;683,704381037363;809,461808042912;896,759958282693
"146";1069,30728285208;974,523458547598;1100,65662025905;1193,5939226263
"147";896,278901477986;905,367090925476;1017,49639529265;953,004555697717
"148";886,432293466327;847,031869149144;934,304207401531;1170,34778858924
"149";1036,56068760938;964,048778721792;1154,19354506174;985,721478671917
"150";1018,27749425754;902,790867438012;976,207173989989;1165,55785621168
"151";967,689529534192;813,902269198913;877,852844622274;1184,08617251572
"152";1073,24498150775;975,526026544873;1129,97254524631;872,107797547017
"153";526,400323642193;630,084650881375;822,994900600628;540,225344017509
"154";978,631619688938;928,517875925552;1070,47793333745;1026,0839660456
"155";532,256833455273;615,958075868358;853,135131101639;489,515674211826
"156";653,882331694995;670,197260550592;823,126793627167;678,812925071121
"157";1564,72821355605;1280,33633412204;1403,55229197315;1346,45951979568
"158";585,708008106983;624,743399410198;702,180489676867;965,588964107801
"159";922,733925277719;758,62024453456;801,675773373879;1330,27346657167
"160";1043,9482338953;1066,63496932018;1311,21246509027;810,945842702634
"161";636,468421758562;792,633994498472;1090,27638121025;761,786528464179
"162";856,493270741541;849,388248340637;977,3315334147;1125,76430561266
"163";923,846318412475;931,344541473509;1061,0220026587;796,684187698001
"164";1059,56261187719;941,892697445163;1144,11063807429;1036,02740819706
"165";763,973533081401;850,931544681244;1027,91417875136;761,466821242135
"166";1132,74700284128;1024,49898747955;1203,28355022104;1154,06573670644
"167";725,333061840577;740,214751497898;866,033852879823;915,715955395234
"168";700,113911196116;799,887416218093;1027,73085493147;771,622311381861
"169";1115,51470301541;1122,95973228903;1287,27248323317;1110,06117172376
"170";966,225970987669;992,961245937493;1099,75726228341;965,908964523637
"171";774,742225443835;847,707616968099;1056,48778528537;1040,60390743421
"172";963,441637765847;865,95080717598;941,546393572123;1083,26149495604
"173";574,933032978264;695,849041343468;922,453320745069;584,054545969545
"174";1082,87391904819;956,221587988275;1019,30925106073;1102,73125101661
"175";895,569337665587;968,333481745428;1136,72306630266;784,586351715781
"176";860,808089742411;884,127138899321;1016,94753970482;1042,81974934253
"177";1186,22081448758;1139,69096015798;1296,81082761513;1196,90952485083
"178";1253,98613897838;1043,05063548126;1142,04588814523;1083,43223397102
"179";1208,11205513599;1088,07055040662;1222,91626058275;1369,47654166835
