;mean;sd;bias;cp;;Mean means;Mean Sds;Mean bias;Mean CP
1;2,45957087;0,549651695;22,97854349;1;;1,974398424;0,461728916;-1,280078787;0,934
2;1,846273098;0,47212662;-7,68634511;1;;;;;
3;1,524868976;0,441130306;-23,75655121;1;;;;;
4;1,320878707;0,326922499;-33,95606463;1;;;;;
5;2,270641197;0,489981699;13,53205985;1;;;;;
6;1,7230186;0,420042059;-13,84906999;1;;;;;
7;2,669372654;0,607646428;33,4686327;1;;;;;
8;2,241966871;0,543757747;12,09834354;1;;;;;
9;1,154414493;0,314329224;-42,27927535;0;;;;;
10;1,53229863;0,352998619;-23,38506849;1;;;;;
11;1,99806274;0,486792702;-0,096862979;1;;;;;
12;1,41813534;0,385496075;-29,09323299;1;;;;;
13;2,171546729;0,48487644;8,577336466;1;;;;;
14;2,999582579;0,676953568;49,97912894;1;;;;;
15;2,274183955;0,527024506;13,70919777;1;;;;;
16;1,720964378;0,449693351;-13,95178109;1;;;;;
17;2,111780644;0,451703403;5,589032216;1;;;;;
18;1,818345568;0,436631909;-9,082721598;1;;;;;
19;2,403980034;0,559740536;20,19900172;1;;;;;
20;2,055944598;0,50436232;2,797229899;1;;;;;
21;2,221107533;0,49031793;11,05537667;1;;;;;
22;2,74553023;0,58786244;37,27651152;1;;;;;
23;1,574431267;0,365494129;-21,27843667;1;;;;;
24;2,685817063;0,619688854;34,29085317;1;;;;;
25;2,451524127;0,563237424;22,57620633;1;;;;;
26;1,304267406;0,412473595;-34,78662972;1;;;;;
27;1,472410481;0,372223489;-26,37947593;1;;;;;
28;1,757534894;0,396819925;-12,12325531;1;;;;;
29;1,691427877;0,452262352;-15,42860616;1;;;;;
30;1,709340531;0,368799175;-14,53297345;1;;;;;
31;1,430061472;0,3694849;-28,4969264;1;;;;;
32;1,979566161;0,481100974;-1,021691942;1;;;;;
33;1,909195257;0,473493961;-4,540237157;1;;;;;
34;2,590864276;0,591028167;29,54321379;1;;;;;
35;1,436176792;0,371939028;-28,1911604;1;;;;;
36;2,16373327;0,50395673;8,186663501;1;;;;;
37;2,516327864;0,54176022;25,81639318;1;;;;;
38;1,465912142;0,368317731;-26,7043929;1;;;;;
39;1,517681003;0,386707395;-24,11594984;1;;;;;
40;2,351650745;0,528235505;17,58253725;1;;;;;
41;1,827396932;0,415201824;-8,630153392;1;;;;;
42;1,855009455;0,433783545;-7,249527267;1;;;;;
43;1,786894504;0,480517555;-10,65527479;1;;;;;
44;2,033756582;0,524486398;1,687829091;1;;;;;
45;1,920285237;0,453308983;-3,985738125;1;;;;;
46;1,869185591;0,446429347;-6,540720451;1;;;;;
47;1,850718797;0,427204781;-7,464060148;1;;;;;
48;1,602354726;0,38996151;-19,8822637;1;;;;;
49;2,7780603;0,621272234;38,90301498;1;;;;;
50;2,860013173;0,586712517;43,00065863;1;;;;;
51;2,423452483;0,529846307;21,17262414;1;;;;;
52;1,374383902;0,392701874;-31,28080489;1;;;;;
53;1,626824132;0,453358272;-18,65879341;1;;;;;
54;2,306267222;0,519185397;15,31336108;1;;;;;
55;2,080266482;0,495676947;4,013324075;1;;;;;
56;1,960871246;0,469316852;-1,9564377;1;;;;;
57;2,281152916;0,476557105;14,0576458;1;;;;;
58;1,373857829;0,335713885;-31,30710855;1;;;;;
59;1,389053546;0,353251878;-30,54732271;1;;;;;
60;1,93966596;0,440364406;-3,016701989;1;;;;;
61;2,296234471;0,470616578;14,81172355;1;;;;;
62;2,473486997;0,518683577;23,67434985;1;;;;;
63;2,128647459;0,462074571;6,432372953;1;;;;;
64;1,723450765;0,437556259;-13,82746177;1;;;;;
65;2,371212452;0,494603027;18,56062261;1;;;;;
66;1,459041237;0,34609633;-27,04793813;1;;;;;
67;2,256456183;0,490128044;12,82280913;1;;;;;
68;2,231515341;0,519979544;11,57576703;1;;;;;
69;1,992298828;0,448777077;-0,385058589;1;;;;;
70;1,368125832;0,366304405;-31,5937084;1;;;;;
71;2,125909002;0,521148969;6,295450117;1;;;;;
72;1,666358107;0,427428751;-16,68209465;1;;;;;
73;2,366531292;0,522353697;18,32656462;1;;;;;
74;1,075358031;0,331446927;-46,23209845;0;;;;;
75;1,325348002;0,350660719;-33,73259992;1;;;;;
76;1,984240514;0,450563658;-0,787974306;1;;;;;
77;2,491210201;0,535400143;24,56051005;1;;;;;
78;2,541902914;0,602153597;27,09514569;1;;;;;
79;2,135965667;0,540956165;6,798283338;1;;;;;
80;1,332992775;0,328261757;-33,35036126;1;;;;;
81;2,05299681;0,464336884;2,649840504;1;;;;;
82;2,623287623;0,552281869;31,16438114;1;;;;;
83;1,691377389;0,411603451;-15,43113054;1;;;;;
84;1,745512281;0,420203337;-12,72438596;1;;;;;
85;1,413966519;0,385220414;-29,30167407;1;;;;;
86;2,062206147;0,4458317;3,110307329;1;;;;;
87;1,996460988;0,469825989;-0,176950597;1;;;;;
88;2,258115563;0,520686367;12,90577815;1;;;;;
89;1,804699226;0,399883233;-9,765038692;1;;;;;
90;1,79427307;0,431327396;-10,28634652;1;;;;;
91;2,523593908;0,531774777;26,17969542;1;;;;;
92;1,787555987;0,446942118;-10,62220067;1;;;;;
93;2,144862202;0,51637887;7,243110097;1;;;;;
94;2,631416738;0,548221742;31,57083691;1;;;;;
95;1,566366916;0,406382506;-21,68165421;1;;;;;
96;1,580341724;0,427577678;-20,9829138;1;;;;;
97;2,019589149;0,428451271;0,979457447;1;;;;;
98;1,467296299;0,363076992;-26,63518505;1;;;;;
99;2,937679546;0,655715975;46,88397728;1;;;;;
100;2,355009219;0,544515746;17,75046095;1;;;;;
101;2,20086601;0,492668572;10,04330052;1;;;;;
102;1,667436085;0,377280005;-16,62819573;1;;;;;
103;1,744905103;0,442440763;-12,75474484;1;;;;;
104;2,10708617;0,519743902;5,354308478;1;;;;;
105;2,484141746;0,566938437;24,20708732;1;;;;;
106;1,435160268;0,387824031;-28,24198661;1;;;;;
107;1,375466642;0,343081283;-31,22666789;1;;;;;
108;1,910689545;0,458536823;-4,46552273;1;;;;;
109;1,335938486;0,310466871;-33,20307572;0;;;;;
110;1,795248649;0,449091814;-10,23756755;1;;;;;
111;1,702175307;0,415730049;-14,89123464;1;;;;;
112;1,73231187;0,407700904;-13,38440652;1;;;;;
113;1,89415137;0,455621892;-5,292431496;1;;;;;
114;1,951127171;0,437932482;-2,443641447;1;;;;;
115;1,852007295;0,459480021;-7,399635233;1;;;;;
116;2,05317844;0,467034;2,658921986;1;;;;;
117;2,013736557;0,459352081;0,686827834;1;;;;;
118;1,617422211;0,416433411;-19,12888947;1;;;;;
119;2,2314319;0,478746118;11,57159502;1;;;;;
120;2,600953931;0,564362786;30,04769657;1;;;;;
121;2,276450461;0,524003796;13,82252304;1;;;;;
122;2,266853318;0,481157225;13,34266592;1;;;;;
123;2,824136325;0,603787101;41,20681626;1;;;;;
124;1,951812946;0,418454762;-2,409352708;1;;;;;
125;1,7823318;0,400477508;-10,88340998;1;;;;;
126;1,800069492;0,426421232;-9,996525392;1;;;;;
127;3,076873682;0,647476737;53,84368411;1;;;;;
128;1,165660542;0,31936698;-41,71697291;0;;;;;
129;1,221068993;0,358248354;-38,94655035;0;;;;;
130;2,119405318;0,446005255;5,970265902;1;;;;;
131;2,029340972;0,485034581;1,467048595;1;;;;;
132;2,187935303;0,446394167;9,396765153;1;;;;;
133;2,139098366;0,475217398;6,954918295;1;;;;;
134;1,812730625;0,431396762;-9,363468769;1;;;;;
135;1,452428037;0,390803401;-27,37859817;1;;;;;
136;0,882389999;0,305345401;-55,88050006;0;;;;;
137;3,963833932;0,79497726;98,19169661;0;;;;;
138;2,787093725;0,603102203;39,35468626;1;;;;;
139;1,691081702;0,42303958;-15,44591491;1;;;;;
140;2,470482221;0,528019981;23,52411106;1;;;;;
141;1,223722885;0,367755931;-38,81385577;1;;;;;
142;2,65750328;0,62046154;32,875164;1;;;;;
143;2,51355736;0,548752823;25,67786802;1;;;;;
144;1,48414877;0,357986559;-25,79256151;1;;;;;
145;1,320860905;0,380681426;-33,95695477;1;;;;;
146;1,272388363;0,302517043;-36,38058186;0;;;;;
147;1,846285877;0,483798243;-7,685706136;1;;;;;
148;1,806783857;0,463503132;-9,660807134;1;;;;;
149;1,630761448;0,423484472;-18,46192761;1;;;;;
150;1,895812357;0,441730933;-5,209382141;1;;;;;
151;2,112795679;0,483270873;5,639783953;1;;;;;
152;2,219636128;0,521107757;10,9818064;1;;;;;
153;1,594843405;0,35794988;-20,25782973;1;;;;;
154;2,287437356;0,553983664;14,37186782;1;;;;;
155;0,857061253;0,308982768;-57,14693735;0;;;;;
156;2,208998658;0,498925078;10,4499329;1;;;;;
157;2,134597863;0,500402579;6,729893133;1;;;;;
158;2,142151426;0,527232366;7,107571304;1;;;;;
159;1,571598113;0,402913513;-21,42009436;1;;;;;
160;1,368242602;0,326751687;-31,58786991;1;;;;;
161;1,562218351;0,432096645;-21,88908246;1;;;;;
162;2,524566512;0,586674701;26,22832559;1;;;;;
163;1,100031022;0,346240042;-44,99844889;0;;;;;
164;2,190988202;0,461176941;9,549410125;1;;;;;
165;1,682336627;0,382721908;-15,88316864;1;;;;;
166;1,989450868;0,46642948;-0,527456619;1;;;;;
167;2,068776537;0,47779757;3,438826857;1;;;;;
168;1,655050413;0,404171141;-17,24747933;1;;;;;
169;2,020492464;0,43603299;1,02462318;1;;;;;
170;1,646552507;0,40621928;-17,67237467;1;;;;;
171;2,037779919;0,467886595;1,888995952;1;;;;;
172;1,760596842;0,424689005;-11,9701579;1;;;;;
173;1,470389914;0,35490048;-26,48050429;1;;;;;
174;2,838407999;0,613256092;41,92039995;1;;;;;
175;2,649366344;0,582129814;32,4683172;1;;;;;
