;mean;sd;bias;cp;;Mean means;Mean SDs;Mean bias;Mean cps
1;2,422067958;0,223004116;21,10339791;0;;2,007556874;0,197731502;0,377843703;0,95
2;2,090599235;0,203019259;4,529961769;1;;;;;
3;1,9997355;0,195881649;-0,013224994;1;;;;;
4;2,038077537;0,204317095;1,903876869;1;;;;;
5;2,034477752;0,210634953;1,723887588;1;;;;;
6;1,906894168;0,184152362;-4,655291595;1;;;;;
7;2,019674087;0,19413955;0,983704337;1;;;;;
8;1,620849512;0,185064926;-18,95752439;1;;;;;
9;1,984881088;0,187599622;-0,75594561;1;;;;;
10;1,947412644;0,210791291;-2,629367776;1;;;;;
11;2,384487085;0,223762738;19,22435423;1;;;;;
12;1,541810798;0,160530665;-22,90946012;0;;;;;
13;1,954896931;0,190685424;-2,255153427;1;;;;;
14;1,794457906;0,176964377;-10,27710468;1;;;;;
15;1,675643384;0,167995405;-16,21783078;1;;;;;
16;2,029630913;0,19648364;1,481545644;1;;;;;
17;1,999952256;0,196925085;-0,002387208;1;;;;;
18;2,250630248;0,210046583;12,53151239;1;;;;;
19;1,946752688;0,19162966;-2,662365615;1;;;;;
20;1,916023841;0,198469844;-4,198807946;1;;;;;
21;2,07902929;0,189134248;3,951464515;1;;;;;
22;2,082982318;0,216387155;4,1491159;1;;;;;
23;2,104028471;0,19392058;5,20142355;1;;;;;
24;1,989397548;0,190784788;-0,530122576;1;;;;;
25;1,970734012;0,19526496;-1,463299396;1;;;;;
26;1,974158827;0,201997201;-1,292058649;1;;;;;
27;2,022685339;0,187721519;1,134266953;1;;;;;
28;1,720790962;0,197386406;-13,96045191;1;;;;;
29;2,204694622;0,228467218;10,23473111;1;;;;;
30;1,772946641;0,186444824;-11,35266796;1;;;;;
31;2,12637126;0,204152954;6,318563;1;;;;;
32;1,883341941;0,186083186;-5,832902937;1;;;;;
33;1,870341904;0,181349733;-6,482904821;1;;;;;
34;1,773962093;0,179177895;-11,30189533;1;;;;;
35;1,997259413;0,196757473;-0,137029366;1;;;;;
36;1,992395804;0,189966439;-0,380209788;1;;;;;
37;2,238841728;0,221735701;11,94208641;1;;;;;
38;1,9502806;0,188775567;-2,485970003;1;;;;;
