;mean;sd;bias;cp;;Mean means;Mean sds;Mean bias;Mean CP
1;0,498762861;0,811545219;-75,06185696;1;;0,65031127;0,947909262;-67,48443649;0,774
2;0,499760876;0,816256695;-75,0119562;1;;;;;
3;0,320506516;0,497321158;-83,9746742;0;;;;;
4;0,392989804;0,687613896;-80,35050982;1;;;;;
5;0,732417416;1,28735811;-63,37912919;1;;;;;
6;0,750993944;0,957287453;-62,45030281;1;;;;;
7;1,26361206;1,715514065;-36,81939698;1;;;;;
8;0,343328125;0,643248594;-82,83359377;1;;;;;
9;1,629239603;1,898797314;-18,53801986;1;;;;;
10;0,32099587;0,503644508;-83,95020648;0;;;;;
11;0,544077527;0,939047835;-72,79612366;1;;;;;
12;0,151362101;0,22523848;-92,43189494;0;;;;;
13;0,40653945;0,663128345;-79,6730275;1;;;;;
14;0,522361612;0,824843178;-73,88191942;1;;;;;
15;0,575334303;0,908638247;-71,23328483;1;;;;;
16;0,761693407;1,259224234;-61,91532964;1;;;;;
17;0,513924437;0,750508361;-74,30377814;1;;;;;
18;0,576501239;0,818766056;-71,17493803;1;;;;;
19;0,280269013;0,444229647;-85,98654934;0;;;;;
20;0,711238818;1,107609077;-64,43805912;1;;;;;
21;1,646480593;1,853248391;-17,67597037;1;;;;;
22;0,98424148;1,752309038;-50,78792598;1;;;;;
23;0,277244203;0,453294596;-86,13778985;0;;;;;
24;0,372059142;0,593573898;-81,39704292;0;;;;;
25;0,516368615;0,80536309;-74,18156924;1;;;;;
26;0,666693581;1,100583404;-66,66532094;1;;;;;
27;2,431416222;2,750427642;21,57081109;1;;;;;
28;0,556571057;0,971534281;-72,17144717;1;;;;;
29;0,369389568;0,624408513;-81,53052158;1;;;;;
30;2,630691922;2,974811917;31,53459608;1;;;;;
31;0,529308009;0,948350308;-73,53459955;1;;;;;
32;0,34751327;0,555550019;-82,62433648;0;;;;;
33;0,576509606;1,078346871;-71,17451968;1;;;;;
34;1,391603602;1,725213227;-30,41981991;1;;;;;
35;0,72300849;1,132096991;-63,84957549;1;;;;;
36;0,580447984;0,887458164;-70,97760079;1;;;;;
37;0,801938032;1,378958593;-59,90309841;1;;;;;
38;0,532748762;0,87558516;-73,36256192;1;;;;;
39;0,274105285;0,491964764;-86,29473574;0;;;;;
40;0,472610316;0,775473845;-76,36948418;1;;;;;
41;0,378409252;0,536855419;-81,07953742;0;;;;;
42;0,60748843;0,855263424;-69,6255785;1;;;;;
