;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
1;-2,300293235;1,019605909;15,01466174;1;;-2,10815898;0,598295161;5,407949005;0,946
2;-2,437971445;0,54018025;21,89857225;1;;;;;
3;-1,91067733;0,510078223;-4,46613351;1;;;;;
4;-1,495900745;0,484801354;-25,20496277;1;;;;;
5;-1,659687971;0,59239919;-17,01560146;1;;;;;
6;-1,591252887;0,445766027;-20,43735566;1;;;;;
7;-1,861092992;0,549584098;-6,94535038;1;;;;;
8;-1,902805256;0,4533855;-4,859737223;1;;;;;
9;-1,65952915;0,497378956;-17,02354248;1;;;;;
10;-1,323765332;0,520275079;-33,8117334;1;;;;;
11;-2,34444631;0,638608404;17,22231548;1;;;;;
12;-1,797956528;0,395909567;-10,10217361;1;;;;;
13;-2,332498476;0,497660581;16,62492378;1;;;;;
14;-1,256678006;0,750706157;-37,16609972;1;;;;;
15;-2,412052934;0,505970362;20,60264668;1;;;;;
16;-2,261997242;1,08482312;13,09986212;1;;;;;
17;-1,566734264;0,471333352;-21,66328681;1;;;;;
18;-0,784508735;0,671592115;-60,77456324;1;;;;;
19;-2,33357876;0,523272962;16,67893799;1;;;;;
20;-1,513244789;0,588078421;-24,33776056;1;;;;;
21;-2,040316494;0,442719521;2,015824716;1;;;;;
22;-3,318091485;0,79613978;65,90457426;1;;;;;
23;-2,033857766;0,496656702;1,692888317;1;;;;;
24;-1,870173429;0,644883329;-6,491328572;1;;;;;
25;-2,005079796;0,664576678;0,253989819;1;;;;;
26;-3,334982185;0,799884585;66,74910925;1;;;;;
27;-3,09562393;0,843578107;54,78119652;1;;;;;
28;-2,214405184;0,502805935;10,72025921;1;;;;;
29;-1,955838589;0,642510055;-2,208070526;1;;;;;
30;-1,753402895;0,664944365;-12,32985523;1;;;;;
31;-1,656295142;0,447569198;-17,18524288;1;;;;;
32;-2,17810764;0,717097102;8,90538202;1;;;;;
33;-2,832502979;0,88432252;41,62514896;1;;;;;
34;-2,34391826;0,644668827;17,19591299;1;;;;;
35;-2,263555991;0,535744083;13,17779956;1;;;;;
36;-2,399230298;0,596978026;19,96151492;1;;;;;
37;-2,015931605;0,55389703;0,796580262;1;;;;;
38;-1,5878196;0,460485207;-20,60902002;1;;;;;
39;-2,645799903;0,831306732;32,28999514;1;;;;;
40;-2,023149026;0,443629576;1,157451312;1;;;;;
41;-2,911350207;0,612086897;45,56751033;1;;;;;
42;-1,290597964;0,503964455;-35,47010179;1;;;;;
43;-2,478534044;0,50391139;23,92670222;1;;;;;
44;-3,177418216;0,697729021;58,87091078;1;;;;;
45;-2,806076572;0,681860054;40,30382858;1;;;;;
46;-2,303773843;0,677515688;15,18869213;1;;;;;
47;-2,395500715;0,679906161;19,77503575;1;;;;;
48;-3,021484763;0,686965848;51,07423817;1;;;;;
49;-2,911221417;0,547761304;45,56107085;1;;;;;
50;-2,325387385;0,564039929;16,26936923;1;;;;;
51;-1,589176581;0,500408934;-20,54117094;1;;;;;
52;-1,66469756;0,631060431;-16,76512198;1;;;;;
53;-1,761507123;0,483255877;-11,92464384;1;;;;;
54;-2,587961726;1,026279391;29,39808631;1;;;;;
55;-2,347862956;0,606115479;17,39314778;1;;;;;
56;-1,12264136;0,609276315;-43,867932;1;;;;;
57;-2,192955913;0,560026773;9,647795659;1;;;;;
58;-2,291027823;0,494951743;14,55139116;1;;;;;
59;-3,626618349;0,884442316;81,33091746;0;;;;;
60;-2,412504778;0,480949264;20,62523891;1;;;;;
61;-2,198294158;0,524225031;9,914707915;1;;;;;
62;-1,334171486;0,476401889;-33,29142571;1;;;;;
63;-1,64870988;0,476376207;-17,564506;1;;;;;
64;-2,459905014;0,608493957;22,9952507;1;;;;;
65;-1,702991026;0,528640401;-14,85044869;1;;;;;
66;-1,824112073;0,60146871;-8,794396361;1;;;;;
67;-1,983799849;0,537276952;-0,810007574;1;;;;;
68;-2,731462622;0,68690632;36,57313111;1;;;;;
69;-1,359911387;0,34733231;-32,00443065;1;;;;;
70;-1,995218129;0,505816628;-0,239093543;1;;;;;
71;-1,66214475;0,456829664;-16,89276248;1;;;;;
72;-2,440259954;0,542574924;22,01299769;1;;;;;
73;-2,417625255;0,626650736;20,88126273;1;;;;;
74;-1,853496622;0,517480553;-7,325168907;1;;;;;
75;-2,385293911;0,629906257;19,26469553;1;;;;;
76;-2,333986369;0,69903429;16,69931843;1;;;;;
77;-1,47332835;0,450694048;-26,33358251;1;;;;;
78;-1,654469184;0,548720005;-17,27654081;1;;;;;
79;-2,627618202;0,555441558;31,3809101;1;;;;;
80;-3,09516812;0,619884568;54,75840602;1;;;;;
81;-2,582477666;0,848488647;29,12388332;1;;;;;
82;-2,391776015;0,564407845;19,58880076;1;;;;;
83;-1,809640918;0,493816798;-9,517954105;1;;;;;
84;-1,764396627;0,646992243;-11,78016863;1;;;;;
85;-2,652788727;0,892432068;32,63943635;1;;;;;
86;-2,102365973;0,556576015;5,118298646;1;;;;;
87;-2,071861812;0,604528087;3,593090595;1;;;;;
88;-1,944076391;0,42305412;-2,796180432;1;;;;;
89;-3,169366503;0,651929484;58,46832515;1;;;;;
90;-1,771430998;0,724081389;-11,42845011;1;;;;;
91;-2,427645723;0,567609855;21,38228613;1;;;;;
92;-2,701895223;0,934610638;35,09476114;1;;;;;
