;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean Bias;Mean CP
1;-1,936657861;0,057212322;-3,167106944;1;;-2,005464877;0,061318437;0,27324383;0,936
2;-2,061695649;0,062575121;3,084782431;1;;;;;
3;-2,094609443;0,062043235;4,730472128;1;;;;;
4;-2,069074285;0,063872493;3,45371424;1;;;;;
5;-2,045734608;0,066776021;2,286730422;1;;;;;
6;-2,068888197;0,059603561;3,444409861;1;;;;;
7;-2,094148686;0,066703269;4,707434308;1;;;;;
8;-2,21130843;0,06790684;10,56542151;0;;;;;
9;-1,940673402;0,060526997;-2,966329922;1;;;;;
10;-1,955826503;0,065791216;-2,208674848;1;;;;;
11;-1,955417923;0,05954116;-2,22910387;1;;;;;
12;-1,99700018;0,059491545;-0,149991007;1;;;;;
13;-2,052598444;0,060182053;2,629922197;1;;;;;
14;-1,861583016;0,065371095;-6,920849181;0;;;;;
15;-1,946703476;0,059907035;-2,664826213;1;;;;;
16;-2,035230141;0,064287653;1,761507073;1;;;;;
17;-2,012338591;0,060995936;0,61692953;1;;;;;
18;-2,056911982;0,061169124;2,845599095;1;;;;;
19;-2,045080961;0,063607114;2,254048035;1;;;;;
20;-2,046626025;0,062382072;2,331301228;1;;;;;
21;-1,999199671;0,064150389;-0,040016446;1;;;;;
22;-1,990723292;0,056731766;-0,463835407;1;;;;;
23;-2,056698267;0,060814826;2,834913357;1;;;;;
24;-2,104336926;0,06842397;5,216846317;1;;;;;
25;-1,936934285;0,058913727;-3,153285725;1;;;;;
26;-2,032213018;0,060915728;1,61065092;1;;;;;
27;-2,028570141;0,064847886;1,42850707;1;;;;;
28;-1,961877038;0,059344463;-1,906148101;1;;;;;
29;-1,946723369;0,063302938;-2,663831527;1;;;;;
30;-1,948598784;0,058576408;-2,570060802;1;;;;;
31;-1,970733111;0,062355541;-1,463344446;1;;;;;
32;-1,975898589;0,062925296;-1,205070561;1;;;;;
33;-2,043896816;0,061613809;2,194840789;1;;;;;
34;-1,974563324;0,060045706;-1,271833783;1;;;;;
35;-2,02192548;0,064678815;1,096274001;1;;;;;
36;-1,96309271;0,057748725;-1,845364483;1;;;;;
37;-1,928975969;0,063118156;-3,551201553;1;;;;;
38;-1,965841337;0,062210721;-1,707933167;1;;;;;
39;-2,021856352;0,055997408;1,092817584;1;;;;;
40;-2,031342422;0,060347699;1,567121119;1;;;;;
41;-2,036100623;0,062736898;1,805031169;1;;;;;
42;-1,954230231;0,060300518;-2,288488466;1;;;;;
43;-2,010691241;0,060673302;0,534562064;1;;;;;
44;-1,993457214;0,058805404;-0,327139277;1;;;;;
45;-2,047363794;0,062837855;2,368189716;1;;;;;
46;-2,120506853;0,05932367;6,025342665;0;;;;;
47;-2,050525961;0,063209371;2,526298063;1;;;;;
48;-1,927638425;0,062992211;-3,618078774;1;;;;;
49;-2,007335528;0,066020068;0,366776412;1;;;;;
50;-1,998487796;0,060705147;-0,075610177;1;;;;;
51;-2,123018601;0,066139468;6,150930047;1;;;;;
52;-2,046396684;0,064182095;2,319834191;1;;;;;
53;-1,931599496;0,059565484;-3,420025181;1;;;;;
54;-2,114834805;0,065322403;5,741740253;1;;;;;
55;-1,998419163;0,063636093;-0,079041836;1;;;;;
56;-1,933772263;0,058946623;-3,311386863;1;;;;;
57;-1,998929291;0,05953591;-0,053535446;1;;;;;
58;-2,14258549;0,071057034;7,129274476;0;;;;;
59;-2,01849864;0,060709851;0,924932003;1;;;;;
60;-2,06414215;0,060224436;3,20710751;1;;;;;
61;-2,081726243;0,062236617;4,08631217;1;;;;;
62;-2,014132412;0,062719947;0,706620591;1;;;;;
63;-1,974194464;0,062247627;-1,290276823;1;;;;;
64;-2,035188331;0,059683966;1,759416571;1;;;;;
65;-1,993023724;0,061670187;-0,348813814;1;;;;;
66;-2,075314484;0,060674596;3,765724191;1;;;;;
67;-1,956437772;0,060256073;-2,178111395;1;;;;;
68;-2,098459267;0,06931463;4,922963329;1;;;;;
69;-2,075825496;0,064186871;3,791274794;1;;;;;
70;-1,852076261;0,059762216;-7,396186961;0;;;;;
71;-2,048334596;0,066325662;2,416729799;1;;;;;
72;-2,063567194;0,06254311;3,178359687;1;;;;;
73;-2,050348012;0,060684042;2,5174006;1;;;;;
74;-1,934643922;0,06127094;-3,267803879;1;;;;;
75;-2,05547539;0,062345221;2,773769478;1;;;;;
76;-1,935542569;0,056540907;-3,222871552;1;;;;;
77;-2,039495263;0,063380318;1,974763157;1;;;;;
78;-1,970685949;0,063922084;-1,465702559;1;;;;;
79;-1,964874221;0,056709179;-1,756288937;1;;;;;
80;-1,942882571;0,063453279;-2,855871449;1;;;;;
81;-2,04026383;0,063571889;2,013191507;1;;;;;
82;-2,077254562;0,062579223;3,862728094;1;;;;;
83;-2,035438493;0,061672202;1,771924675;1;;;;;
84;-2,010619015;0,061727055;0,530950728;1;;;;;
85;-2,016301636;0,062252079;0,81508181;1;;;;;
86;-1,913944841;0,054823606;-4,302757957;1;;;;;
87;-2,158460836;0,068199111;7,923041823;0;;;;;
88;-1,975173694;0,062657385;-1,241315287;1;;;;;
89;-2,028101206;0,059454979;1,405060311;1;;;;;
90;-2,126933723;0,064040688;6,346686139;0;;;;;
91;-1,838761847;0,058366324;-8,061907647;0;;;;;
92;-1,949672641;0,061971646;-2,516367959;1;;;;;
93;-2,079336597;0,060956735;3,966829858;1;;;;;
94;-1,998375871;0,06102602;-0,081206474;1;;;;;
95;-1,964368001;0,060001653;-1,78159993;1;;;;;
96;-2,091888972;0,059538001;4,594448585;1;;;;;
97;-2,012199344;0,061496663;0,609967198;1;;;;;
98;-2,02411849;0,061611844;1,205924508;1;;;;;
99;-2,054106813;0,061924682;2,705340668;1;;;;;
