;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
1;9,501040797;2,730434268;-4,989592029;1;;8,897414791;2,531483658;-11,02585209;0,936
2;10,10427258;2,819303854;1,042725816;1;;;;;
3;8,712199129;2,529346035;-12,87800871;1;;;;;
4;8,763070488;2,672998985;-12,36929512;1;;;;;
5;9,681353759;2,659184015;-3,186462408;1;;;;;
6;5,838300092;1,789742598;-41,61699908;1;;;;;
7;12,70216296;3,73324192;27,0216296;1;;;;;
8;7,289162209;2,089363907;-27,10837791;1;;;;;
9;5,165227186;1,425895429;-48,34772814;0;;;;;
10;11,51425825;3,378461378;15,14258248;1;;;;;
11;7,273296623;2,021993882;-27,26703377;1;;;;;
12;8,650053997;2,25784546;-13,49946003;1;;;;;
13;8,733178588;2,234200915;-12,66821412;1;;;;;
14;12,96507856;3,346874064;29,65078561;1;;;;;
15;7,113271735;2,020497314;-28,86728265;1;;;;;
16;12,81252732;3,758533089;28,12527324;1;;;;;
17;7,235430167;2,059979208;-27,64569833;1;;;;;
18;11,61109072;3,382669653;16,11090718;1;;;;;
19;10,15017089;2,909638679;1,501708862;1;;;;;
20;7,699456931;2,361813867;-23,00543069;1;;;;;
21;8,405441814;2,453361115;-15,94558186;1;;;;;
22;7,761571321;2,123644117;-22,38428679;1;;;;;
23;8,045877811;2,262007064;-19,54122189;1;;;;;
24;12,4170479;3,471139229;24,17047901;1;;;;;
25;9,875648419;3,011123065;-1,243515806;1;;;;;
26;7,162160061;2,097471115;-28,37839939;1;;;;;
27;7,472535769;2,023759596;-25,27464231;1;;;;;
28;9,941310655;2,834504619;-0,586893452;1;;;;;
29;5,899195481;1,931208801;-41,00804519;1;;;;;
30;7,45679532;2,245372737;-25,4320468;1;;;;;
31;9,029702325;2,595883488;-9,702976755;1;;;;;
32;7,674246563;2,343371872;-23,25753437;1;;;;;
33;12,17751784;3,208700521;21,77517835;1;;;;;
34;11,00654389;3,073557134;10,06543887;1;;;;;
35;13,80201618;3,881830836;38,02016176;1;;;;;
36;7,741593683;2,287499391;-22,58406317;1;;;;;
37;9,117705576;2,885995571;-8,822944244;1;;;;;
38;10,68795366;2,868339442;6,879536622;1;;;;;
39;12,26309765;3,58774782;22,63097653;1;;;;;
40;5,877823348;1,746497366;-41,22176652;1;;;;;
41;9,436333213;2,366099954;-5,636667873;1;;;;;
42;8,20139749;2,707702422;-17,9860251;1;;;;;
43;9,14695092;2,703059296;-8,530490804;1;;;;;
44;11,70894642;3,130759692;17,08946424;1;;;;;
45;7,200263184;2,07516433;-27,99736816;1;;;;;
46;9,874984041;2,672769534;-1,250159592;1;;;;;
47;7,314878015;2,09875073;-26,85121985;1;;;;;
48;9,006116959;2,520063281;-9,938830407;1;;;;;
49;8,327600536;2,17998626;-16,72399464;1;;;;;
50;4,685570045;1,28832244;-53,14429955;0;;;;;
51;8,295310556;2,387436272;-17,04689444;1;;;;;
52;9,488124022;2,708910599;-5,118759784;1;;;;;
53;7,861926739;2,169990783;-21,38073261;1;;;;;
54;8,77199918;2,602200303;-12,2800082;1;;;;;
55;11,08037229;3,232189728;10,8037229;1;;;;;
56;6,908713275;2,233752156;-30,91286725;1;;;;;
57;7,370656074;2,075912815;-26,29343926;1;;;;;
58;8,136879883;2,142962591;-18,63120117;1;;;;;
59;11,15023448;2,927550006;11,50234478;1;;;;;
60;9,235183548;2,372037218;-7,648164523;1;;;;;
61;7,884351328;2,259357877;-21,15648672;1;;;;;
62;8,798012345;2,754199759;-12,01987655;1;;;;;
63;6,918436647;2,106119034;-30,81563353;1;;;;;
64;10,42074932;2,866947824;4,207493182;1;;;;;
65;6,996372923;2,016895965;-30,03627077;1;;;;;
66;9,746538622;2,794267281;-2,534613781;1;;;;;
67;9,281923998;2,529762301;-7,180760022;1;;;;;
68;8,454551354;2,368473031;-15,45448646;1;;;;;
69;7,709925549;2,407811355;-22,90074451;1;;;;;
70;7,643189027;2,250587219;-23,56810973;1;;;;;
71;9,213078436;2,871115952;-7,869215637;1;;;;;
