;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean Bias;Mean CP
1;9,515433762;0,435449659;-4,845662384;1;;10,01165669;0,46361971;0,116566873;0,948
2;10,60207409;0,507531213;6,020740867;1;;;;;
3;10,71496469;0,507530551;7,149646942;1;;;;;
4;10,45449125;0,494342101;4,544912522;1;;;;;
5;9,922836938;0,465210229;-0,771630618;1;;;;;
6;9,793738351;0,451939846;-2,062616488;1;;;;;
7;9,972880065;0,481229511;-0,271199349;1;;;;;
8;10,31821719;0,482293796;3,182171928;1;;;;;
9;10,37596901;0,508761295;3,759690147;1;;;;;
10;10,46994417;0,502430402;4,699441684;1;;;;;
11;9,970733543;0,4727965;-0,29266457;1;;;;;
12;9,383724496;0,417161966;-6,162755043;1;;;;;
13;10,36623955;0,487481435;3,66239546;1;;;;;
14;9,887440649;0,478895654;-1,125593508;1;;;;;
15;10,1499445;0,471521442;1,499445014;1;;;;;
16;10,15928245;0,482977249;1,592824462;1;;;;;
17;10,46634066;0,493451742;4,663406635;1;;;;;
18;9,792744506;0,449316439;-2,072554943;1;;;;;
19;9,905886114;0,457264711;-0,941138856;1;;;;;
20;10,1857661;0,469384885;1,857661018;1;;;;;
21;10,32870777;0,484683883;3,287077666;1;;;;;
22;10,06311001;0,451519159;0,631100129;1;;;;;
23;9,718055856;0,44314753;-2,819441436;1;;;;;
24;11,26725422;0,547006344;12,67254216;0;;;;;
25;10,04532976;0,461751209;0,453297638;1;;;;;
26;10,34015964;0,473662971;3,401596389;1;;;;;
27;9,391920767;0,433704219;-6,080792326;1;;;;;
28;9,873492074;0,451351125;-1,265079257;1;;;;;
29;10,8728092;0,529054902;8,728091951;1;;;;;
30;9,297458775;0,415705768;-7,025412245;1;;;;;
31;9,782824817;0,456356333;-2,171751832;1;;;;;
32;10,36612341;0,481249775;3,661234094;1;;;;;
33;9,425546701;0,427090959;-5,744532987;1;;;;;
34;8,906951502;0,392134491;-10,93048498;0;;;;;
35;10,67726357;0,507479946;6,772635673;1;;;;;
36;10,8541199;0,511201733;8,541198963;1;;;;;
37;10,10749315;0,485088968;1,074931505;1;;;;;
38;10,38263717;0,506109214;3,82637171;1;;;;;
39;9,185622871;0,419413964;-8,143771292;1;;;;;
40;9,560865398;0,425484722;-4,391346017;1;;;;;
41;10,57622568;0,497047957;5,762256759;1;;;;;
42;10,17165322;0,461632698;1,716532193;1;;;;;
43;10,54816239;0,489629872;5,481623887;1;;;;;
44;10,13099994;0,460979508;1,309999421;1;;;;;
45;9,436325482;0,433122862;-5,636745177;1;;;;;
46;9,477592238;0,413236713;-5,224077615;1;;;;;
47;10,67057171;0,506803295;6,705717111;1;;;;;
48;9,835732553;0,45945455;-1,642674472;1;;;;;
49;10,64781771;0,509690059;6,47817712;1;;;;;
50;9,33983863;0,418023731;-6,601613695;1;;;;;
51;9,811712343;0,452016558;-1,882876572;1;;;;;
52;10,6468755;0,500901775;6,468755002;1;;;;;
53;9,843277328;0,460741365;-1,567226715;1;;;;;
54;10,38878092;0,475933349;3,887809209;1;;;;;
