"";"x"
"1";0,5086
"2";0,5122
"3";0,5124
"4";0,5224
"5";0,531
"6";0,5166
"7";0,5404
"8";0,5202
"9";0,5206
"10";0,5222
"11";0,5202
"12";0,5086
"13";0,5114
"14";0,5314
"15";0,5042
"16";0,5186
"17";0,5122
"18";0,5144
"19";0,5232
"20";0,516
"21";0,5126
"22";0,5014
"23";0,525
"24";0,521
"25";0,5026
"26";0,5048
"27";0,5244
"28";0,512
"29";0,5176
"30";0,513
"31";0,5256
"32";0,519
"33";0,5264
"34";0,5048
"35";0,5218
"36";0,5066
"37";0,5098
"38";0,523
"39";0,5138
"40";0,509
"41";0,5182
"42";0,5042
"43";0,513
"44";0,5202
"45";0,5256
"46";0,513
"47";0,5154
"48";0,515
"49";0,5188
"50";0,5138
"51";0,5324
"52";0,522
"53";0,5148
"54";0,5082
"55";0,5142
"56";0,524
"57";0,5184
"58";0,5348
"59";0,5084
"60";0,5118
"61";0,5128
"62";0,5118
"63";0,5184
"64";0,5192
"65";0,5132
"66";0,5158
"67";0,517
"68";0,5256
"69";0,5228
"70";0,5192
"71";0,5164
"72";0,5166
"73";0,5066
"74";0,5134
"75";0,5304
"76";0,5016
"77";0,513
"78";0,5154
"79";0,5076
"80";0,5068
"81";0,514
"82";0,509
"83";0,524
"84";0,5128
"85";0,5186
"86";0,4996
"87";0,5306
"88";0,524
"89";0,5026
"90";0,527
"91";0,5064
"92";0,5058
"93";0,5144
"94";0,5096
"95";0,5128
"96";0,5134
"97";0,515
"98";0,5182
"99";0,5072
"100";0,5186
"101";0,5152
"102";0,5034
"103";0,5126
"104";0,518
"105";0,5104
"106";0,5162
"107";0,5304
"108";0,5178
"109";0,4956
"110";0,5034
"111";0,5028
"112";0,5256
"113";0,5144
"114";0,5166
"115";0,5164
"116";0,5228
"117";0,5198
"118";0,5106
"119";0,516
"120";0,5088
"121";0,5176
"122";0,5258
"123";0,5076
"124";0,5168
"125";0,5072
"126";0,496
"127";0,5144
"128";0,5202
"129";0,5164
"130";0,5172
"131";0,5178
"132";0,5086
"133";0,5216
"134";0,5134
"135";0,4958
"136";0,5286
"137";0,5224
"138";0,5176
"139";0,511
"140";0,5038
"141";0,5326
"142";0,5072
"143";0,512
"144";0,5192
"145";0,504
"146";0,5162
"147";0,5186
"148";0,5288
"149";0,5188
"150";0,5158
"151";0,5122
"152";0,5262
"153";0,507
"154";0,5044
"155";0,5226
"156";0,516
"157";0,5248
"158";0,512
"159";0,5168
"160";0,5208
"161";0,5222
"162";0,5124
"163";0,5198
"164";0,535
"165";0,5126
"166";0,5104
"167";0,512
"168";0,5098
"169";0,522
"170";0,5094
"171";0,5094
"172";0,5066
"173";0,5178
"174";0,5122
"175";0,5046
"176";0,5166
"177";0,5132
"178";0,5034
"179";0,517
"180";0,502
"181";0,5176
"182";0,5206
"183";0,5134
"184";0,5158
"185";0,5024
"186";0,5186
"187";0,5034
"188";0,4978
"189";0,5162
"190";0,5104
"191";0,5186
"192";0,5214
"193";0,5126
"194";0,5102
"195";0,5106
"196";0,5066
"197";0,533
"198";0,5148
"199";0,52
"200";0,5166
"201";0,5244
"202";0,5078
"203";0,51
"204";0,5124
"205";0,5168
"206";0,5132
"207";0,51
"208";0,528
"209";0,5072
"210";0,5058
"211";0,5182
"212";0,5044
"213";0,5296
"214";0,5182
"215";0,505
"216";0,5058
"217";0,5196
"218";0,5166
"219";0,5236
