"";"alpha";"beta";"lambda";"lp"
"1";2486,14937876642;2772,64295802399;2269,18241607875;2558,44594402546
"2";3290,9473741685;2636,60372560967;2686,90391168811;2445,65941055601
"3";3029,1769292388;2957,66651319143;2865,99122741366;2747,46715084955
"4";3483,18896137611;2905,83290285827;3279,0708309546;2594,06044097096
"5";3598,67107496903;3399,97598237118;3292,42040222428;2500,9072685561
"6";2756,93276226601;2093,1605050611;2264,94987310691;2339,19753568649
"7";3558,69801937667;3055,02048361351;3053,7421089191;2898,32241007083
"8";2705,34141593806;2406,78641186516;2132,8489674047;2394,48452670295
"9";3374,59784246615;3004,83379055167;3292,54392086257;2221,31261423051
"10";3581,03775843906;2785,18780266569;3119,01391562365;2516,95815190933
"11";3218,76267504972;3110,24574734593;2605,33884785696;2633,78555598469
"12";3035,78828909983;2385,05267381192;2601,75444009109;2562,81362359624
"13";2854,57959379077;2897,77879952103;2857,717935271;2398,3683396981
"14";3394,81319437365;2744,68699048171;2842,89818617811;2117,20609372651
"15";3411,46420540131;2642,17167672023;2496,32872479792;2146,00195174533
"16";3069,20522339648;3310,25466640035;3072,09233500745;2730,71415458196
"17";3818,41459526328;3422,76297221948;3418,72319075893;2469,29411692143
"18";2908,16488947837;2868,80064712394;2582,44982683786;2341,14168738025
"19";3584,53653222415;2988,4564027998;2987,9843239036;2155,19882276233
"20";2772,62349744517;2782,78612817495;3334,49031071671;2343,20333020181
"21";2815,5990722026;2362,71586849768;2537,91365174043;2119,30711019631
"22";2488,16476330018;2718,67005841226;2474,3819942777;2513,01342888131
"23";2621,07443879128;2551,37519217047;2517,58024503817;2335,51930573077
"24";2848,70040645197;2855,78193063818;2670,35371585582;2291,44220915628
"25";3018,83940241024;2523,75177192922;3058,39104127014;2081,3057249561
"26";2590,84536849119;2616,22487580398;2389,31903541052;2668,76626045639
"27";2939,14056222434;2954,24802432585;2725,29623316033;2524,55713980208
"28";1871,8669868327;2218,78033183401;1896,01380237472;2410,50952604294
"29";3588,74265198192;3310,95713438907;3525,10156251137;2542,7092148967
"30";3204,83435460987;2906,72674461879;2944,58910316766;2497,57471798733
"31";3345,02097176002;2566,56865695441;2892,5582946231;2456,20211405948
"32";3080,5134588992;1914,08665249426;2073,82369202633;2753,5128114627
"33";3325,42606467495;3464,54875532789;3228,222660604;2713,95624035373
"34";2953,28964032106;2704,45848204398;2382,28905029756;2368,16966327757
"35";3046,94422138178;2416,35886463872;2634,06011772301;2449,82031642494
"36";2868,74659319398;2198,6656190287;2328,94387377821;2252,12135147716
"37";3059,69885503755;2834,79157049086;2644,6972855085;2703,36869793602
"38";2891,4128129652;2367,48126511586;2691,87283489536;2053,92604661626
"39";2702,56288668545;2609,01793790597;2435,11764072456;2319,95392406836
"40";2530,60315596429;2210,08813040024;2115,606319401;2217,59910629073
"41";3025,13101415317;3257,26900967702;2883,7904088626;2457,66027532621
"42";2614,71122814806;2802,61215679569;2450,58968962129;2475,73429704496
"43";3189,68030194857;3264,74813695834;2856,20470788873;2652,00736375888
"44";3935,50981923522;3200,89392125689;2878,24435924802;2598,11945391914
"45";3138,5502587047;2341,1287111736;2397,16179183665;2430,00072666903
"46";2402,00030718242;2473,81747260209;2246,43375420855;2667,40255463585
"47";3045,22584492356;2562,41889615653;2667,96868087356;2153,73779841799
"48";2488,86830458161;2391,39232099838;2036,01236696749;2492,79039324359
"49";3232,40110105889;3192,96249914746;2911,50496901548;2656,11775964221
"50";3522,58766837186;3942,96481443297;3466,33356053021;2838,50569233631
"51";3616,08204194859;3433,45481236715;3140,02132741606;2630,01297195844
"52";3364,33962525986;2540,11090420835;2636,86599491288;2651,59223921875
"53";2629,98440740234;2521,80907203305;2245,290025919;2277,15074191573
"54";3049,9935883035;2907,44072848173;2726,85673883636;2229,44221718842
"55";2909,41014139578;2505,06532060784;2417,89240800422;2385,04442718512
"56";2850,88467263592;2321,30024080652;2495,51828998729;2284,10773142292
"57";2929,63440632352;2652,16220143382;2563,63710966261;2365,39588318945
"58";3190,93207047869;2654,90990097666;2803,68391489468;2530,16594891914
