;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
1;1,685551488;0,847860707;-15,72242561;1;;1,822196567;0,774767924;-8,890171671;0,95
2;1,742335949;0,67532989;-12,88320256;1;;;;;
3;1,910161982;0,784845535;-4,491900889;1;;;;;
4;2,43511258;0,97755659;21,75562901;1;;;;;
5;1,652144469;0,670589416;-17,39277655;1;;;;;
6;1,608461178;0,75307924;-19,57694111;1;;;;;
7;3,17182928;1,186741258;58,59146402;1;;;;;
8;1,405307044;0,602034979;-29,73464778;1;;;;;
9;0,971003364;0,486764986;-51,4498318;1;;;;;
10;3,729251341;1,409365459;86,46256704;1;;;;;
11;1,22688103;0,586306949;-38,65594851;1;;;;;
12;1,469972215;0,532584246;-26,50138923;1;;;;;
13;1,198928852;0,455684877;-40,05355738;1;;;;;
14;1,818517433;0,671408744;-9,074128334;1;;;;;
15;1,309002646;0,570212387;-34,54986768;1;;;;;
16;2,902308071;1,321284425;45,11540354;1;;;;;
17;1,583505731;0,684984711;-20,82471346;1;;;;;
18;3,279725189;1,278199998;63,98625943;1;;;;;
19;1,991110134;0,789687151;-0,444493297;1;;;;;
20;1,908171574;0,88312356;-4,591421313;1;;;;;
21;2,01420097;0,787394472;0,710048519;1;;;;;
22;0,96259898;0,498120597;-51,870051;1;;;;;
23;1,488954894;0,611349146;-25,55225532;1;;;;;
24;2,661670171;1,02456925;33,08350855;1;;;;;
25;2,455196896;1,066930911;22,75984482;1;;;;;
26;1,083370161;0,593739705;-45,83149194;1;;;;;
27;0,89104994;0,47400339;-55,447503;1;;;;;
28;1,71099408;0,656623096;-14,45029601;1;;;;;
29;1,627842084;0,909128;-18,60789581;1;;;;;
30;1,458879811;0,70694459;-27,05600943;1;;;;;
31;2,104645383;0,788390614;5,232269172;1;;;;;
32;1,742478994;0,864874989;-12,87605028;1;;;;;
33;1,652023463;0,701724329;-17,39882683;1;;;;;
34;2,21660585;0,868366741;10,83029248;1;;;;;
35;3,113084822;1,117156437;55,6542411;1;;;;;
36;1,655152012;0,767118619;-17,24239942;1;;;;;
37;2,730217945;1,191472487;36,51089723;1;;;;;
38;2,025653403;0,718473311;1,282670139;1;;;;;
39;2,603286974;1,135645471;30,16434871;1;;;;;
40;1,351289965;0,634933799;-32,43550175;1;;;;;
41;1,014739957;0,392204859;-49,26300213;0;;;;;
42;2,8441872;1,216487882;42,20935998;1;;;;;
43;2,025333329;0,822421991;1,266666432;1;;;;;
44;1,661375358;0,646326544;-16,9312321;1;;;;;
45;1,167701734;0,58638035;-41,61491329;1;;;;;
46;1,531831519;0,644058606;-23,40842406;1;;;;;
47;1,193998723;0,586740427;-40,30006385;1;;;;;
48;1,23530888;0,53466186;-38,23455602;1;;;;;
49;1,165879425;0,47137017;-41,70602874;1;;;;;
50;0,801407322;0,430799964;-59,9296339;0;;;;;
51;1,722376897;0,710912589;-13,88115516;1;;;;;
52;1,756152376;0,745612849;-12,19238119;1;;;;;
53;1,364527022;0,558208238;-31,7736489;1;;;;;
54;1,75790303;0,960791027;-12,10484852;1;;;;;
55;2,315462242;0,893631697;15,77311211;1;;;;;
56;2,214909622;1,099419755;10,74548112;1;;;;;
57;1,472485415;0,664874325;-26,37572926;1;;;;;
58;1,325363597;0,533111023;-33,73182014;1;;;;;
59;1,519508036;0,683352038;-24,02459821;1;;;;;
60;1,276849065;0,483163798;-36,15754673;1;;;;;
61;1,614816124;0,717479725;-19,25919381;1;;;;;
62;2,337607544;0,952642888;16,88037722;1;;;;;
63;1,714180317;0,769069171;-14,29098415;1;;;;;
64;1,950870624;0,768867216;-2,456468823;1;;;;;
65;1,557824246;0,701937797;-22,10878771;1;;;;;
66;2,101585498;0,866775573;5,079274918;1;;;;;
67;1,606777162;0,638957338;-19,66114188;1;;;;;
68;1,210163907;0,562178846;-39,49180466;1;;;;;
69;2,338767632;0,913371857;16,93838159;1;;;;;
70;1,731684785;0,762552267;-13,41576076;1;;;;;
71;2,801655905;1,108560991;40,08279525;1;;;;;
72;1,794510582;0,662682474;-10,27447091;1;;;;;
73;1,099690242;0,592536962;-45,01548792;1;;;;;
74;1,390264412;0,58040951;-30,48677941;1;;;;;
75;1,72229894;0,827832003;-13,88505298;1;;;;;
76;2,357364079;0,92009212;17,86820393;1;;;;;
77;3,813556242;1,327271677;90,67781212;1;;;;;
78;1,911254294;0,735881236;-4,437285313;1;;;;;
79;1,842225651;0,675059984;-7,888717452;1;;;;;
80;1,36578986;0,569810832;-31,71050698;1;;;;;
81;1,370697834;0,825895846;-31,46510832;1;;;;;
