;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean Bias;Mean CP
1;1,909540537;1,352099089;-4,522973161;1;;1,582691791;0,948430855;-20,86541045;0,918
2;0,899061433;0,711049556;-55,04692836;1;;;;;
3;1,759649786;1,03796386;-12,01751072;1;;;;;
4;0,918514231;0,475527113;-54,07428844;1;;;;;
5;2,313909086;1,155447543;15,69545432;1;;;;;
6;1,058878594;0,80832856;-47,05607031;1;;;;;
7;1,841603771;1,004606366;-7,919811472;1;;;;;
8;1,349092512;0,794548305;-32,54537442;1;;;;;
9;1,689817788;1,033041817;-15,50911059;1;;;;;
10;2,003175239;1,069531961;0,15876193;1;;;;;
11;2,285592776;1,084362714;14,27963878;1;;;;;
12;1,78047139;1,038917974;-10,9764305;1;;;;;
13;2,466492369;1,291328332;23,32461846;1;;;;;
14;1,276416859;0,683133502;-36,17915706;1;;;;;
15;1,1160478;0,672309133;-44,19761;1;;;;;
16;2,280690603;1,253364422;14,03453016;1;;;;;
17;1,514737416;0,765868357;-24,2631292;1;;;;;
18;0,852655786;0,488990567;-57,36721069;1;;;;;
19;0,997895183;0,584744343;-50,10524084;1;;;;;
20;1,263018458;0,589643767;-36,84907712;1;;;;;
21;0,473243549;0,44178672;-76,33782253;0;;;;;
22;1,569637574;1,064415481;-21,51812129;1;;;;;
23;0,839304232;0,594093583;-58,03478839;1;;;;;
24;1,545771776;1,100235655;-22,71141121;1;;;;;
25;1,203306661;0,974632677;-39,83466695;1;;;;;
26;2,056471409;1,161162932;2,823570427;1;;;;;
27;1,394516604;0,878341915;-30,27416981;1;;;;;
28;0,899656224;0,883745885;-55,01718882;1;;;;;
29;2,247669929;1,081350361;12,38349647;1;;;;;
30;1,546357173;0,809403028;-22,68214136;1;;;;;
31;1,650654261;1,03799601;-17,46728694;1;;;;;
32;0,919124724;0,61769232;-54,04376381;1;;;;;
33;1,269146388;0,731068078;-36,5426806;1;;;;;
34;0,911547277;0,574295184;-54,42263613;1;;;;;
35;1,025728657;0,562003397;-48,71356713;1;;;;;
36;1,055155168;0,745855883;-47,24224158;1;;;;;
37;1,553600903;0,977795875;-22,31995484;1;;;;;
38;2,144545681;1,582078448;7,227284062;1;;;;;
39;2,140425001;1,473950255;7,021250041;1;;;;;
40;0,671836159;0,638678718;-66,40819203;1;;;;;
41;3,592406989;1,753184523;79,62034945;1;;;;;
42;2,157381254;1,307625209;7,869062699;1;;;;;
43;3,205923734;1,826500228;60,2961867;1;;;;;
44;2,048330993;0,974850708;2,416549658;1;;;;;
45;1,566315995;0,956622682;-21,68420026;1;;;;;
46;1,279153396;0,852351375;-36,04233022;1;;;;;
47;1,810916043;1,104016541;-9,454197838;1;;;;;
48;1,527178354;0,960970604;-23,64108232;1;;;;;
49;2,314606031;1,152450326;15,73030155;1;;;;;
50;4,863188228;2,327750631;143,1594114;1;;;;;
51;1,640957561;0,781457837;-17,95212196;1;;;;;
52;1,325297968;0,739437195;-33,73510159;1;;;;;
53;3,533887354;2,187699136;76,69436771;1;;;;;
54;1,691641206;0,997618706;-15,41793968;1;;;;;
55;0,949354253;0,703591424;-52,53228735;1;;;;;
56;1,112617153;0,791603372;-44,36914236;1;;;;;
57;2,895127186;1,828130303;44,75635932;1;;;;;
58;1,572377501;1,053233684;-21,38112495;1;;;;;
59;1,496128831;0,956681733;-25,19355847;1;;;;;
60;0,178488785;0,244578841;-91,07556075;0;;;;;
61;1,868129251;1,214232218;-6,593537458;1;;;;;
62;0,87138256;0,672064216;-56,43087199;1;;;;;
63;1,271567565;0,808745861;-36,42162176;1;;;;;
64;0,502681071;0,433912231;-74,86594644;0;;;;;
65;3,18464907;1,581106108;59,2324535;1;;;;;
66;1,58622127;0,852546353;-20,6889365;1;;;;;
67;2,298126079;1,297213397;14,90630397;1;;;;;
68;3,073616874;1,803703542;53,68084369;1;;;;;
69;1,674180971;1,047344525;-16,29095145;1;;;;;
70;1,253801017;0,857431917;-37,30994913;1;;;;;
71;1,859471592;1,085994235;-7,026420409;1;;;;;
72;2,242252483;1,407304627;12,11262416;1;;;;;
73;1,201136931;0,674295909;-39,94315344;1;;;;;
74;1,060567293;0,628137948;-46,97163535;1;;;;;
75;1,814347491;1,093808391;-9,282625462;1;;;;;
76;1,817346222;1,132763864;-9,132688918;1;;;;;
77;0,952492963;0,643239612;-52,37535187;1;;;;;
78;1,769986281;1,029411439;-11,50068594;1;;;;;
79;2,436710472;1,719436713;21,83552361;1;;;;;
80;0,77763939;0,444231463;-61,11803051;0;;;;;
81;0,966256417;0,72764733;-51,68717917;1;;;;;
82;2,001876416;0,971942189;0,09382079;1;;;;;
83;2,655896799;1,252400998;32,79483996;1;;;;;
84;2,960765877;1,746171781;48,03829384;1;;;;;
85;1,494234019;0,97593085;-25,28829906;1;;;;;
86;1,49638847;0,877475874;-25,1805765;1;;;;;
87;2,417556047;1,53563995;20,87780237;1;;;;;
88;0,638553732;0,633449241;-68,07231339;1;;;;;
89;1,71785203;0,978112097;-14,1073985;1;;;;;
90;0,926138281;0,550269344;-53,69308596;1;;;;;
91;0,662417752;0,513911071;-66,87911241;0;;;;;
92;0,813223077;0,619926694;-59,33884615;1;;;;;
93;1,707386834;1,000231778;-14,63065828;1;;;;;
94;2,244916137;1,297715389;12,24580685;1;;;;;
95;0,784690395;0,642417951;-60,76548024;1;;;;;
96;2,406213389;1,400679788;20,31066946;1;;;;;
97;3,990406591;2,618060663;99,52032957;1;;;;;
98;1,596756076;0,820848875;-20,16219621;1;;;;;
99;1,549520478;1,043657851;-22,52397611;1;;;;;
100;1,648986248;0,833090399;-17,5506876;1;;;;;
101;1,166553959;1,022845353;-41,67230203;1;;;;;
102;2,191474119;0,931664771;9,573705932;1;;;;;
103;0,882607483;0,797445075;-55,86962584;1;;;;;
104;1,443652837;0,887373615;-27,81735817;1;;;;;
105;2,007936246;0,883449845;0,396812276;1;;;;;
106;2,66413218;1,431794948;33,206609;1;;;;;
107;1,852717326;1,194741554;-7,364133702;1;;;;;
108;2,120545131;1,254808299;6,027256568;1;;;;;
109;0,492337628;0,383195128;-75,38311858;0;;;;;
110;2,95325311;1,469223679;47,6626555;1;;;;;
111;0,689486879;0,660455508;-65,52565606;1;;;;;
112;2,419217124;1,138371656;20,96085619;1;;;;;
113;1,18021292;0,750595529;-40,98935401;1;;;;;
114;1,139527379;0,702468933;-43,02363105;1;;;;;
115;1,913784449;1,030157802;-4,31077753;1;;;;;
116;0,647651233;0,466983177;-67,61743834;0;;;;;
117;2,023402503;1,272133617;1,17012514;1;;;;;
118;0,84702309;0,573403136;-57,64884549;1;;;;;
119;1,512399218;0,726450724;-24,3800391;1;;;;;
120;1,98730075;1,282091014;-0,63496251;1;;;;;
121;0,58752177;0,398281032;-70,62391152;0;;;;;
122;2,112030438;1,120829786;5,601521894;1;;;;;
123;3,006458981;1,64939962;50,32294903;1;;;;;
124;1,89042753;1,208898259;-5,47862349;1;;;;;
125;0,923268579;0,571584446;-53,83657106;1;;;;;
126;1,555969566;0,811352059;-22,20152171;1;;;;;
127;1,993802844;0,917827559;-0,309857809;1;;;;;
128;1,877600158;0,932588704;-6,119992111;1;;;;;
129;1,095120875;0,615796782;-45,24395627;1;;;;;
130;1,021184362;0,556103585;-48,9407819;1;;;;;
131;0,546200773;0,628218914;-72,68996136;1;;;;;
132;1,382633611;0,839899335;-30,86831947;1;;;;;
133;0,705970117;0,460824724;-64,70149415;0;;;;;
134;1,640903596;0,845381371;-17,95482019;1;;;;;
135;0,967674165;0,555635538;-51,61629173;1;;;;;
136;1,473192263;0,914057469;-26,34038686;1;;;;;
137;2,040320779;1,012717938;2,016038961;1;;;;;
138;0,631142812;0,532353735;-68,44285942;0;;;;;
139;0,466660294;0,366018284;-76,6669853;0;;;;;
140;1,544004604;0,878711945;-22,7997698;1;;;;;
141;1,648595893;0,942212435;-17,57020535;1;;;;;
142;2,107983437;1,35182452;5,399171861;1;;;;;
143;1,009739845;0,546435717;-49,51300777;1;;;;;
144;0,636260477;0,423586715;-68,18697613;0;;;;;
145;1,091499394;0,766047202;-45,42503029;1;;;;;
146;1,688860506;0,94327118;-15,55697468;1;;;;;
147;1,285641014;0,795768945;-35,71794929;1;;;;;
148;1,269740161;1,018789893;-36,51299193;1;;;;;
149;1,634550407;0,858513611;-18,27247966;1;;;;;
150;1,287972922;0,790733986;-35,60135391;1;;;;;
151;1,224100227;0,821022391;-38,79498863;1;;;;;
152;2,443626819;1,363295412;22,18134095;1;;;;;
153;0,857469911;0,610608862;-57,12650445;1;;;;;
154;2,179310888;1,300524613;8,965544415;1;;;;;
155;0,612708016;0,419205796;-69,3645992;0;;;;;
156;2,359567372;1,236084495;17,97836858;1;;;;;
157;1,960615499;1,428147326;-1,96922506;1;;;;;
158;1,024235327;0,818812958;-48,78823365;1;;;;;
159;1,944725443;0,902661164;-2,763727844;1;;;;;
160;1,216174673;0,873085765;-39,19126634;1;;;;;
161;1,065537184;0,595183225;-46,7231408;1;;;;;
162;1,534846054;0,785399231;-23,25769731;1;;;;;
163;1,735977741;0,913697967;-13,20111293;1;;;;;
164;1,001833474;0,584067902;-49,9083263;1;;;;;
165;0,942568854;0,676849155;-52,8715573;1;;;;;
166;3,000007166;1,605353068;50,00035831;1;;;;;
167;1,154141167;0,58884736;-42,29294165;1;;;;;
168;1,588135243;0,905396752;-20,59323787;1;;;;;
169;0,76651712;0,555823639;-61,67414402;1;;;;;
170;1,438435803;1,147839488;-28,07820984;1;;;;;
171;1,090537123;0,672710876;-45,47314384;1;;;;;
172;1,831699429;1,065540343;-8,415028549;1;;;;;
173;2,853656975;1,348100778;42,68284876;1;;;;;
174;0,913470469;0,560911159;-54,32647657;1;;;;;
175;1,717028307;1,221339116;-14,14858467;1;;;;;
176;1,050600865;0,728055187;-47,46995674;1;;;;;
177;0,941317512;0,737882146;-52,93412441;1;;;;;
178;1,955262572;1,060221772;-2,236871382;1;;;;;
179;1,600335229;0,856737601;-19,98323857;1;;;;;
180;1,262779362;0,780804351;-36,8610319;1;;;;;
181;1,959171855;1,671375215;-2,041407267;1;;;;;
182;1,46074022;0,929778939;-26,962989;1;;;;;
183;1,585117373;1,061360639;-20,74413137;1;;;;;
184;0,654445115;0,42425214;-67,27774424;0;;;;;
185;2,150528255;1,377441827;7,526412768;1;;;;;
186;1,107622522;0,884216487;-44,61887389;1;;;;;
187;1,149109648;0,811140808;-42,54451762;1;;;;;
188;0,994973246;0,88886937;-50,25133771;1;;;;;
189;2,399420265;1,33793138;19,97101326;1;;;;;
190;1,839499242;0,796287575;-8,025037923;1;;;;;
191;2,186344613;1,375991722;9,317230651;1;;;;;
192;1,747359071;1,041157847;-12,63204645;1;;;;;
193;2,62837624;1,396355304;31,41881202;1;;;;;
194;1,117822794;0,641281607;-44,10886032;1;;;;;
195;2,366642263;1,331888171;18,33211315;1;;;;;
196;2,374941876;1,434125487;18,74709381;1;;;;;
197;1,292569925;0,996357272;-35,37150373;1;;;;;
198;1,143643481;0,627110436;-42,81782593;1;;;;;
199;1,21032729;0,75166069;-39,48363548;1;;;;;
200;0,87566259;0,545320532;-56,21687051;1;;;;;
201;1,775590624;1,053415587;-11,22046881;1;;;;;
202;0,956195623;0,507323622;-52,19021883;1;;;;;
203;1,661320674;0,858557;-16,9339663;1;;;;;
204;1,669786387;0,842743691;-16,51068065;1;;;;;
205;1,356138671;0,949829007;-32,19306644;1;;;;;
206;1,061767599;0,732239271;-46,91162004;1;;;;;
207;0,741493094;0,543091454;-62,92534528;1;;;;;
208;2,580621605;1,473608489;29,03108027;1;;;;;
209;1,372047028;0,834963754;-31,3976486;1;;;;;
